" Track file for 0 Redbull ring ..","2020-07-01 19:31:24",0.000,17,1,v3
"dist","pos_z","pos_x","pos_y","drs","sector"
0.00781,448.28,179.53827,-42.16758,1,0
0.12891,448.165,179.57169,-42.16808,1,0
0.26758,448.03192,179.61046,-42.16864,1,0
0.41406,447.88998,179.65176,-42.16924,1,0
0.65234,447.66122,179.71829,-42.17016,1,0
0.79883,447.5204,179.75926,-42.17076,1,0
1.01367,447.31546,179.81886,-42.17165,1,0
1.15039,447.18344,179.85721,-42.17224,1,0
1.35352,446.98862,179.91382,-42.17332,1,0
1.48633,446.8615,179.95088,-42.17436,1,0
1.68164,446.67352,180.00568,-42.17591,1,0
1.8125,446.5477,180.04231,-42.17677,1,0
1.95117,446.41483,180.08098,-42.17746,1,0
2.16016,446.2129,180.13972,-42.17814,1,0
2.30273,446.07693,180.17924,-42.17818,1,0
2.50586,445.8821,180.23586,-42.178,1,0
2.64258,445.7501,180.2743,-42.1781,1,0
2.84961,445.55142,180.33209,-42.17878,1,0
2.98633,445.42026,180.37022,-42.17949,1,0
3.18555,445.2295,180.42577,-42.18068,1,0
3.31445,445.10538,180.46187,-42.18141,1,0
3.50781,444.91974,180.51591,-42.18234,1,0
3.63477,444.79797,180.55138,-42.18285,1,0
3.82422,444.6164,180.60423,-42.1835,1,0
4.00977,444.43698,180.6564,-42.18408,1,0
4.19531,444.2604,180.7078,-42.18464,1,0
4.31836,444.14056,180.74265,-42.18508,1,0
4.51367,443.9537,180.797,-42.18579,1,0
4.64844,443.82425,180.83466,-42.18633,1,0
4.85352,443.62695,180.89204,-42.18713,1,0
4.99414,443.493,180.93102,-42.18761,1,0
5.20508,443.28986,180.99011,-42.18823,1,0
5.34766,443.15292,181.02995,-42.18861,1,0
5.56445,442.94522,181.09038,-42.18917,1,0
5.71094,442.80444,181.13132,-42.1896,1,0
5.93359,442.5908,181.19345,-42.19034,1,0
6.08594,442.44452,181.236,-42.19088,1,0
6.32617,442.21378,181.30307,-42.19176,1,0
6.48828,442.0585,181.34822,-42.19235,1,0
6.72852,441.82632,181.41577,-42.19318,1,0
6.89062,441.67133,181.46088,-42.19367,1,0
7.13672,441.435,181.52965,-42.19432,1,0
7.37891,441.20355,181.597,-42.19487,1,0
7.60547,440.9849,181.66063,-42.19547,1,0
7.83008,440.76965,181.72325,-42.1961,1,0
8.05859,440.54977,181.78723,-42.19678,1,0
8.28906,440.32828,181.85165,-42.19747,1,0
8.52148,440.10504,181.91661,-42.19816,1,0
8.75977,439.87607,181.98322,-42.1988,1,0
9.00391,439.64288,182.05104,-42.19937,1,0
9.25,439.40588,182.11996,-42.19987,1,0
9.5,439.16522,182.18996,-42.20035,1,0
9.75391,438.9225,182.26053,-42.20084,1,0
10.02148,438.6658,182.33517,-42.20133,1,0
10.29492,438.403,182.41158,-42.20183,1,0
10.56836,438.13943,182.48817,-42.20235,1,0
10.84766,437.87128,182.56613,-42.2029,1,0
11.13867,437.59265,182.6471,-42.20345,1,0
11.33789,437.40048,182.70294,-42.20382,1,0
11.66211,437.0899,182.79317,-42.20443,1,0
11.89648,436.86475,182.85858,-42.20491,1,0
12.25586,436.52017,182.9587,-42.20564,1,0
12.58594,436.20312,183.0508,-42.20627,1,0
12.88086,435.91876,183.13342,-42.20682,1,0
13.17383,435.6379,183.21501,-42.20734,1,0
13.47266,435.35098,183.29837,-42.20782,1,0
13.77148,435.0639,183.38174,-42.20823,1,0
14.07617,434.77173,183.46658,-42.20863,1,0
14.39062,434.47034,183.5541,-42.20898,1,0
14.70898,434.16446,183.64291,-42.20932,1,0
15.0332,433.85168,183.73376,-42.20961,1,0
15.36523,433.53256,183.82649,-42.20995,1,0
15.70508,433.2078,183.92082,-42.21029,1,0
16.05273,432.87408,184.01776,-42.21069,1,0
16.39844,432.5414,184.11438,-42.2111,1,0
16.73633,432.21628,184.20886,-42.21144,1,0
17.08789,431.8784,184.30704,-42.21183,1,0
17.44336,431.5387,184.40578,-42.21218,1,0
17.79297,431.20175,184.5037,-42.21252,1,0
18.14453,430.86505,184.60155,-42.21286,1,0
18.50586,430.51672,184.70279,-42.21313,1,0
18.88281,430.15543,184.8078,-42.21336,1,0
19.28516,429.7691,184.9201,-42.21355,1,0
19.57422,429.49203,185.00067,-42.21366,1,0
20.01172,429.07233,185.12271,-42.21382,1,0
20.41406,428.68442,185.2355,-42.21402,1,0
20.79492,428.31964,185.34157,-42.21422,1,0
21.18359,427.9462,185.45016,-42.21443,1,0
21.59375,427.5516,185.56493,-42.21463,1,0
22.01367,427.14862,185.68211,-42.21484,1,0
22.41016,426.76846,185.79266,-42.21505,1,0
22.80664,426.38687,185.90361,-42.21519,1,0
23.20703,426.00266,186.01532,-42.21533,1,0
23.61328,425.61346,186.12848,-42.2154,1,0
23.90234,425.33557,186.20926,-42.21545,1,0
24.35156,424.90396,186.33472,-42.21546,1,0
24.80859,424.46536,186.46225,-42.21546,1,0
25.23828,424.05194,186.58247,-42.21546,1,0
25.6875,423.62112,186.70775,-42.21548,1,0
25.99805,423.32288,186.7945,-42.21553,1,0
26.47266,422.86676,186.92712,-42.2156,1,0
26.93555,422.4232,187.0561,-42.21566,1,0
27.39648,421.97934,187.18518,-42.21567,1,0
27.87891,421.51666,187.3198,-42.21561,1,0
28.35547,421.06,187.45264,-42.2155,1,0
28.81055,420.62198,187.58006,-42.21537,1,0
29.26758,420.1842,187.70744,-42.21527,1,0
29.73047,419.7399,187.83672,-42.21521,1,0
30.19531,419.29193,187.96709,-42.21514,1,0
30.66211,418.84372,188.09753,-42.21507,1,0
31.13086,418.3938,188.22849,-42.215,1,0
31.60547,417.93945,188.36075,-42.21493,1,0
32.07812,417.48416,188.49327,-42.21486,1,0
32.55859,417.02286,188.62752,-42.21479,1,0
33.04688,416.55475,188.76372,-42.21473,1,0
33.53125,416.09036,188.89883,-42.21474,1,0
34.01367,415.62582,189.03397,-42.21481,1,0
34.50391,415.1556,189.17075,-42.21492,1,0
35.0,414.679,189.3094,-42.215,1,0
35.49805,414.20053,189.44853,-42.21503,1,0
35.99805,413.72134,189.58784,-42.21508,1,0
36.50977,413.22873,189.73103,-42.2152,1,0
37.02734,412.73248,189.87527,-42.21542,1,0
37.55078,412.22916,190.02158,-42.21569,1,0
38.08984,411.7119,190.17194,-42.21601,1,0
38.64062,411.18365,190.32547,-42.21635,1,0
39.18945,410.65643,190.47876,-42.21674,1,0
39.74023,410.12726,190.63263,-42.21708,1,0
40.28906,409.6003,190.78589,-42.21741,1,0
40.84766,409.06436,190.94183,-42.21769,1,0
41.4082,408.52512,191.09879,-42.21796,1,0
41.97266,407.984,191.25638,-42.2183,1,0
42.54492,407.43393,191.41663,-42.21873,1,0
43.14453,406.8582,191.58438,-42.21923,1,0
43.5625,406.4582,191.70096,-42.2196,1,0
44.18555,405.86002,191.8753,-42.22014,1,0
44.77344,405.29443,192.04018,-42.22058,1,0
45.35352,404.73828,192.20232,-42.22099,1,0
45.9375,404.1766,192.36607,-42.22141,1,0
46.52539,403.6134,192.53027,-42.22183,1,0
47.10938,403.05228,192.69386,-42.22234,1,0
47.68945,402.496,192.85606,-42.22293,1,0
48.26953,401.93893,193.0185,-42.22362,1,0
48.85938,401.3715,193.18394,-42.22431,1,0
49.46094,400.79523,193.35196,-42.22501,1,0
50.05859,400.2202,193.51962,-42.22569,1,0
50.65625,399.6478,193.68652,-42.22631,1,0
51.24414,399.08344,193.85106,-42.22692,1,0
51.83789,398.5134,194.01723,-42.22761,1,0
52.44141,397.93277,194.1865,-42.22837,1,0
53.07227,397.3266,194.3632,-42.22919,1,0
53.70898,396.71603,194.54117,-42.23004,1,0
54.34766,396.10345,194.71973,-42.23099,1,0
54.98242,395.49277,194.89775,-42.23196,1,0
55.62305,394.87796,195.07701,-42.23293,1,0
56.25,394.27652,195.2524,-42.2338,1,0
56.87891,393.67328,195.42833,-42.23452,1,0
57.51367,393.0637,195.60614,-42.23507,1,0
58.18945,392.41373,195.79573,-42.23556,1,0
58.66406,391.95938,195.92828,-42.23594,1,0
59.39258,391.26022,196.13225,-42.23658,1,0
60.07422,390.6056,196.32326,-42.23726,1,0
60.75977,389.94684,196.51549,-42.23786,1,0
61.44922,389.28522,196.70857,-42.2383,1,0
62.11914,388.64117,196.89651,-42.23853,1,0
62.76953,388.01816,197.07835,-42.23863,1,0
63.41016,387.40268,197.258,-42.23871,1,0
64.06055,386.77762,197.44046,-42.23887,1,0
64.73438,386.13202,197.62894,-42.23913,1,0
65.41016,385.4835,197.81827,-42.23932,1,0
66.08984,384.82965,198.00916,-42.23939,1,0
66.77344,384.17404,198.20058,-42.2393,1,0
67.45312,383.52084,198.39133,-42.23909,1,0
68.12891,382.87292,198.58052,-42.23889,1,0
68.5957,382.42484,198.71138,-42.23878,1,0
69.33789,381.7124,198.91945,-42.23869,1,0
70.0957,380.98572,199.13171,-42.2386,1,0
70.80273,380.30576,199.33032,-42.23845,1,0
71.48633,379.65042,199.52176,-42.23821,1,0
72.17578,378.9886,199.71513,-42.23793,1,0
72.87305,378.31888,199.91083,-42.23763,1,0
73.57227,377.64758,200.107,-42.23735,1,0
74.29883,376.9501,200.31084,-42.23713,1,0
75.04102,376.23862,200.51878,-42.23692,1,0
75.79102,375.51706,200.72963,-42.23671,1,0
76.29297,375.03625,200.87016,-42.23657,1,0
77.04297,374.3154,201.08086,-42.23636,1,0
77.76953,373.61868,201.2845,-42.23616,1,0
78.28711,373.1214,201.42987,-42.23602,1,0
79.08594,372.35504,201.65388,-42.23587,1,0
79.88086,371.59198,201.87701,-42.23588,1,0
80.63477,370.8684,202.08858,-42.23593,1,0
81.38086,370.15237,202.29794,-42.23589,1,0
82.1543,369.4104,202.51492,-42.23576,1,0
82.92188,368.67325,202.73051,-42.23563,1,0
83.66992,367.95547,202.94048,-42.23554,1,0
84.42773,367.2272,203.15347,-42.23551,1,0
85.19727,366.4886,203.36954,-42.23545,1,0
85.98242,365.73657,203.5895,-42.23534,1,0
86.76172,364.98834,203.80838,-42.2352,1,0
87.29102,364.4799,203.95714,-42.23511,1,0
88.08008,363.72205,204.17886,-42.23497,1,0
88.86133,362.97296,204.39806,-42.23478,1,0
89.62305,362.24066,204.61232,-42.23447,1,0
90.39844,361.4979,204.82965,-42.23404,1,0
91.17773,360.74948,205.04865,-42.23352,1,0
91.7168,360.23254,205.1999,-42.23318,1,0
92.53516,359.44623,205.43,-42.23272,1,0
93.35156,358.66324,205.65913,-42.23227,1,0
93.89062,358.14575,205.8106,-42.23191,1,0
94.75391,357.31763,206.05295,-42.23123,1,0
95.33398,356.75946,206.2163,-42.23071,1,0
96.17969,355.9477,206.45386,-42.22992,1,0
96.98242,355.17853,206.67896,-42.22923,1,0
97.78516,354.40677,206.90486,-42.22856,1,0
98.60156,353.62323,207.1342,-42.22787,1,0
99.42578,352.8332,207.36543,-42.22715,1,0
99.97656,352.30457,207.52014,-42.22665,1,0
100.81055,351.50375,207.75452,-42.22582,1,0
101.64062,350.70718,207.98764,-42.225,1,0
