"Trackfile for F1 2020 Baku,"2020-07-07 10:43:00",0.000,20,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.33789,595.59393,-446.96085,0.86002,1,0
0.51172,595.75476,-447.02591,0.86,1,0
0.6084,595.84485,-447.06223,0.85999,1,0
0.82031,596.04108,-447.14154,0.85996,1,0
1.04785,596.25189,-447.22668,0.85992,1,0
1.26367,596.45251,-447.30774,0.8599,1,0
1.54785,596.71552,-447.41397,0.8599,1,0
1.71875,596.87402,-447.47809,0.85992,1,0
1.89355,597.03662,-447.54376,0.85995,1,0
2.1543,597.27856,-447.64154,0.85997,1,0
2.32812,597.43909,-447.70648,0.85998,1,0
2.57129,597.66467,-447.79758,0.85997,1,0
2.73145,597.81335,-447.85773,0.85997,1,0
2.97266,598.0368,-447.94809,0.85997,1,0
3.13574,598.18829,-448.00937,0.85997,1,0
3.37598,598.41113,-448.09952,0.85997,1,0
3.53418,598.55743,-448.15872,0.85997,1,0
3.76953,598.77563,-448.24695,0.85997,1,0
3.92871,598.92303,-448.30676,0.85997,1,0
4.17188,599.14874,-448.39819,0.85996,1,0
4.33398,599.29871,-448.45886,0.85995,1,0
4.57812,599.52533,-448.55057,0.85992,1,0
4.74316,599.6781,-448.61252,0.85991,1,0
4.9209,599.8429,-448.6792,0.85989,1,0
5.03223,599.94611,-448.72095,0.85987,1,0
5.25684,600.1546,-448.80527,0.85983,1,0
5.5918,600.4646,-448.93069,0.85978,1,0
5.7793,600.63873,-449.00113,0.85976,1,0
6.02832,600.86969,-449.0946,0.85977,1,0
6.19531,601.02399,-449.15698,0.85978,1,0
6.45508,601.26465,-449.25443,0.85978,1,0
6.63086,601.42822,-449.32068,0.85977,1,0
6.89551,601.67352,-449.41986,0.85973,1,0
7.06934,601.83447,-449.48502,0.8597,1,0
7.32422,602.07111,-449.58081,0.85965,1,0
7.49512,602.22913,-449.64481,0.85963,1,0
7.75488,602.47028,-449.74243,0.85959,1,0
7.93164,602.63373,-449.80853,0.85956,1,0
8.19434,602.87769,-449.90738,0.85951,1,0
8.36914,603.03973,-449.97299,0.85948,1,0
8.62793,603.2796,-450.07007,0.85944,1,0
8.80078,603.43909,-450.13452,0.85942,1,0
9.06934,603.68817,-450.23553,0.85939,1,0
9.25195,603.85767,-450.30411,0.85937,1,0
9.44238,604.03387,-450.37543,0.85935,1,0
9.72949,604.29987,-450.48315,0.85932,1,0
10.0127,604.56299,-450.5896,0.8593,1,0
10.28418,604.81421,-450.69131,0.85928,1,0
10.28418,604.81421,-450.69131,0.85928,1,0
10.55176,605.06274,-450.79205,0.85927,1,0
10.73145,605.22864,-450.85925,0.85926,1,0
10.73145,605.22864,-450.85925,0.85926,1,0
11.00781,605.48486,-450.96307,0.85925,1,0
11.19629,605.6593,-451.03378,0.85923,1,0
11.47852,605.92163,-451.14001,0.8592,1,0
11.7627,606.18518,-451.2468,0.85917,1,0
11.95703,606.3645,-451.31949,0.85915,1,0
12.25488,606.64093,-451.43152,0.85911,1,0
12.45508,606.82605,-451.5065,0.85909,1,0
12.75293,607.10211,-451.61838,0.85905,1,0
12.96289,607.29669,-451.6972,0.85902,1,0
13.19043,607.50836,-451.78296,0.85899,1,0
13.43359,607.73315,-451.87408,0.85895,1,0
13.71191,607.99127,-451.9787,0.85891,1,0
13.99316,608.25171,-452.08432,0.85887,1,0
14.27539,608.51392,-452.19061,0.85885,1,0
14.59082,608.80579,-452.3089,0.85883,1,0
14.75293,608.95624,-452.3699,0.85882,1,0
15.21973,609.38879,-452.54535,0.85879,1,0
15.49512,609.64386,-452.64877,0.85877,1,0
15.82715,609.95111,-452.77344,0.85877,1,0
16.04102,610.14941,-452.85385,0.85877,1,0
16.36133,610.44684,-452.97452,0.85877,1,0
16.57715,610.64673,-453.0556,0.85875,1,0
16.90234,610.948,-453.17783,0.8587,1,0
17.12109,611.15076,-453.26013,0.85867,1,0
17.45215,611.45685,-453.38443,0.85862,1,0
17.45215,611.45685,-453.38443,0.85862,1,0
17.67188,611.66052,-453.46713,0.85859,1,0
18.00977,611.9743,-453.59454,0.85856,1,0
18.00977,611.9743,-453.59454,0.85856,1,0
18.24414,612.19092,-453.6825,0.85854,1,0
18.60938,612.52911,-453.81989,0.85851,1,0
18.85645,612.75793,-453.91284,0.85849,1,0
19.23242,613.10645,-454.0545,0.85845,1,0
19.48828,613.34338,-454.15076,0.85843,1,0
19.8623,613.69019,-454.29163,0.8584,1,0
20.1084,613.91833,-454.38443,0.85838,1,0
20.47266,614.25592,-454.52176,0.85836,1,0
20.72559,614.48987,-454.61697,0.85835,1,0
21.13574,614.86963,-454.77148,0.85831,1,0
21.41895,615.13245,-454.87842,0.85828,1,0
21.82227,615.50574,-455.0304,0.85824,1,0
22.07812,615.74249,-455.12677,0.85821,1,0
22.4502,616.08704,-455.267,0.85819,1,0
22.69727,616.3161,-455.36032,0.85817,1,0
23.08398,616.67456,-455.50635,0.85815,1,0
23.34863,616.91943,-455.60611,0.85812,1,0
23.75781,617.2984,-455.76053,0.85809,1,0
24.03027,617.55048,-455.86325,0.85806,1,0
24.43066,617.92169,-456.01456,0.85803,1,0
24.69238,618.16394,-456.11325,0.85802,1,0
25.08398,618.52649,-456.26114,0.85799,1,0
25.34277,618.7663,-456.35895,0.85798,1,0
25.7334,619.1275,-456.50632,0.85795,1,0
25.99121,619.36664,-456.60388,0.85793,1,0
25.99121,619.36664,-456.60388,0.85793,1,0
26.38379,619.7298,-456.75214,0.85791,1,0
26.64746,619.97357,-456.85159,0.85789,1,0
26.64746,619.97357,-456.85159,0.85789,1,0
27.0498,620.34595,-457.00363,0.85786,1,0
27.32227,620.59894,-457.10687,0.85783,1,0
27.73145,620.97736,-457.26135,0.85779,1,0
28.13184,621.34784,-457.41272,0.85775,1,0
28.53027,621.71729,-457.56375,0.85771,1,0
28.93555,622.09235,-457.71704,0.85769,1,0
29.20898,622.34503,-457.82028,0.85767,1,0
29.63281,622.73767,-457.9809,0.85763,1,0
29.93164,623.01373,-458.09375,0.85759,1,0
30.37207,623.42188,-458.26071,0.85753,1,0
30.66699,623.69489,-458.37241,0.85749,1,0
31.10254,624.09753,-458.53717,0.85744,1,0
31.39844,624.37134,-458.64917,0.85741,1,0
31.84375,624.78363,-458.81796,0.85737,1,0
32.14258,625.06055,-458.9314,0.85734,1,0
32.59375,625.47797,-459.10239,0.8573,1,0
32.88672,625.74884,-459.21347,0.85727,1,0
33.32715,626.15601,-459.38031,0.85721,1,0
33.62305,626.43018,-459.49271,0.85717,1,0
34.07812,626.85101,-459.66525,0.85711,1,0
34.38184,627.13171,-459.78033,0.85707,1,0
34.83301,627.5498,-459.95172,0.85701,1,0
35.13965,627.83362,-460.06824,0.85698,1,0
35.61621,628.27454,-460.24915,0.85693,1,0
35.93652,628.57062,-460.37064,0.8569,1,0
