"Trackfile for F1 2020 Baku,"2020-07-07 10:45:10",0.000,20,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.83203,595.77942,-447.80099,0.85657,1,0
1.21484,596.13617,-447.9407,0.85655,1,0
1.76953,596.65186,-448.14258,0.85651,1,0
2.14453,597.00073,-448.2793,0.8565,1,0
2.73633,597.55219,-448.49524,0.85651,1,0
3.29688,598.07495,-448.69989,0.85654,1,0
3.78711,598.53198,-448.87897,0.85659,1,0
4.25,598.96155,-449.04742,0.85664,1,0
4.25,598.96155,-449.04742,0.85664,1,0
4.70312,599.38342,-449.21277,0.85667,1,0
5.06836,599.72394,-449.34628,0.85665,1,0
5.61523,600.23364,-449.54602,0.85659,1,0
6.13672,600.7196,-449.73651,0.85651,1,0
6.60742,601.15833,-449.9086,0.85648,1,0
7.10742,601.62305,-450.09094,0.85649,1,0
7.45703,601.94934,-450.21896,0.8565,1,0
8.01562,602.4693,-450.42316,0.85651,1,0
8.38867,602.81537,-450.55902,0.85648,1,0
8.95898,603.34662,-450.76773,0.85642,1,0
9.33594,603.69824,-450.90573,0.85637,1,0
9.9082,604.23145,-451.11487,0.8563,1,0
10.2832,604.57971,-451.25174,0.85628,1,0
10.85352,605.11023,-451.46024,0.85629,1,0
11.22461,605.45673,-451.59631,0.85631,1,0
11.78125,605.97443,-451.79974,0.85633,1,0
12.14844,606.31665,-451.93411,0.85634,1,0
12.69141,606.82257,-452.13281,0.85632,1,0
13.05273,607.15845,-452.26483,0.85629,1,0
13.58594,607.65509,-452.46002,0.85624,1,0
14.09961,608.13324,-452.64795,0.85621,1,0
14.44336,608.45312,-452.77356,0.8562,1,0
14.97461,608.94702,-452.96753,0.85621,1,0
15.50391,609.44019,-453.16138,0.85622,1,0
16.02734,609.92743,-453.35297,0.85621,1,0
16.41406,610.28632,-453.49399,0.85618,1,0
17.0293,610.85925,-453.71912,0.8561,1,0
17.62695,611.41681,-453.93814,0.85602,1,0
18.16211,611.91455,-454.13385,0.85598,1,0
18.52734,612.25342,-454.26685,0.85597,1,0
19.09375,612.78174,-454.47427,0.85596,1,0
19.49219,613.15289,-454.62006,0.85595,1,0
20.10156,613.72015,-454.84277,0.85591,1,0
20.50781,614.09784,-454.99109,0.85588,1,0
20.91797,614.4798,-455.14108,0.85585,1,0
21.5332,615.05286,-455.36597,0.85581,1,0
22.125,615.60419,-455.58252,0.85578,1,0
22.48633,615.9408,-455.71463,0.85577,1,0
23.03711,616.45239,-455.9155,0.85576,1,0
23.41016,616.80084,-456.05219,0.85574,1,0
23.96875,617.31989,-456.25586,0.85572,1,0
24.52734,617.84113,-456.46039,0.8557,1,0
24.9082,618.19531,-456.5993,0.85568,1,0
25.47656,618.72382,-456.8067,0.85565,1,0
25.85938,619.08087,-456.94678,0.85563,1,0
26.43555,619.61694,-457.15704,0.85561,1,0
26.83008,619.98376,-457.30103,0.85559,1,0
27.42578,620.53931,-457.51895,0.85556,1,0
27.8457,620.93066,-457.67252,0.85554,1,0
28.50781,621.54669,-457.91412,0.85549,1,0
28.98242,621.98779,-458.08698,0.85545,1,0
