" Track file for 0 Brazil Interlagos","2020-07-01 19:31:04",0.000,16,1,v3
"dist","pos_z","pos_x","pos_y","drs","sector"
0.01367,-505.55426,397.6086,58.75328,1,0
0.13867,-505.52588,397.7302,58.75696,1,0
0.27344,-505.49554,397.8603,58.76091,1,0
0.42188,-505.46185,398.0039,58.76526,1,0
0.57812,-505.4262,398.15637,58.76981,1,0
0.73828,-505.38983,398.31165,58.77442,1,0
0.9707,-505.33685,398.53784,58.78118,1,0
1.12109,-505.30292,398.68286,58.78554,1,0
1.34375,-505.2519,398.8999,58.79204,1,0
1.49219,-505.21796,399.04395,58.79638,1,0
1.71094,-505.16815,399.2561,58.80254,1,0
1.85547,-505.13544,399.39478,58.80625,1,0
2.00781,-505.10052,399.54297,58.81063,1,0
2.1582,-505.06586,399.69012,58.81527,1,0
2.38672,-505.0138,399.91104,58.82235,1,0
2.52539,-504.98218,400.0447,58.82658,1,0
2.73047,-504.93518,400.24457,58.83269,1,0
2.875,-504.90244,400.38416,58.83681,1,0
3.09375,-504.8524,400.59634,58.843,1,0
3.24023,-504.8188,400.7388,58.8472,1,0
3.44141,-504.77243,400.93503,58.85306,1,0
3.63477,-504.72836,401.12158,58.85868,1,0
3.75977,-504.69968,401.24307,58.86235,1,0
3.94531,-504.65723,401.4223,58.86775,1,0
4.12891,-504.61493,401.60126,58.87311,1,0
4.3125,-504.57272,401.77982,58.87846,1,0
4.49805,-504.53043,401.95905,58.88382,1,0
4.68555,-504.4872,402.14148,58.88929,1,0
4.87695,-504.4434,402.3266,58.89484,1,0
5.07031,-504.399,402.51385,58.90047,1,0
5.26562,-504.35416,402.70303,58.90619,1,0
5.46094,-504.30896,402.89343,58.91201,1,0
5.6582,-504.26373,403.08438,58.91795,1,0
5.85742,-504.21802,403.27765,58.924,1,0
6.0625,-504.17114,403.47552,58.93015,1,0
6.26953,-504.12317,403.67773,58.93636,1,0
6.48438,-504.07382,403.8856,58.94265,1,0
6.70312,-504.02347,404.098,58.94901,1,0
6.92383,-503.97256,404.3126,58.95546,1,0
7.14453,-503.92166,404.52643,58.96196,1,0
7.36914,-503.87006,404.74347,58.96865,1,0
7.59766,-503.81766,404.96454,58.97553,1,0
7.82812,-503.7645,405.18832,58.98251,1,0
8.06055,-503.7109,405.41354,58.98949,1,0
8.29297,-503.6572,405.63986,58.99647,1,0
8.53125,-503.6024,405.87036,59.00354,1,0
8.76953,-503.54733,406.1016,59.0106,1,0
9.01172,-503.49124,406.33716,59.01783,1,0
9.26367,-503.43314,406.58093,59.02541,1,0
9.52344,-503.37326,406.83188,59.03339,1,0
9.7832,-503.31314,407.08398,59.04151,1,0
9.96094,-503.27206,407.25604,59.04706,1,0
10.23242,-503.20914,407.5196,59.05552,1,0
10.50977,-503.14505,407.78787,59.06407,1,0
10.69531,-503.10205,407.96793,59.06978,1,0
10.99023,-503.03372,408.25394,59.07882,1,0
11.20703,-502.98355,408.46384,59.08544,1,0
11.44336,-502.92838,408.69424,59.09272,1,0
11.70312,-502.86835,408.94492,59.10067,1,0
12.08984,-502.7785,409.3202,59.11259,1,0
12.3418,-502.72015,409.56363,59.12035,1,0
12.5918,-502.6618,409.80716,59.12811,1,0
12.85156,-502.6017,410.05783,59.13612,1,0
13.23633,-502.51193,410.43213,59.14822,1,0
13.49219,-502.45255,410.67953,59.15633,1,0
13.87305,-502.36374,411.04944,59.16852,1,0
14.12305,-502.30566,411.29114,59.17649,1,0
14.47852,-502.22272,411.63623,59.18781,1,0
14.71875,-502.16696,411.86807,59.1954,1,0
15.09375,-502.07944,412.23196,59.20727,1,0
15.34961,-502.02005,412.47867,59.21531,1,0
15.73633,-501.9297,412.85376,59.22753,1,0
15.99609,-501.86884,413.1063,59.23578,1,0
16.37891,-501.77963,413.47632,59.24793,1,0
16.62695,-501.7213,413.71808,59.25591,1,0
17.00391,-501.63333,414.0825,59.26807,1,0
17.26172,-501.5731,414.3319,59.27652,1,0
17.64844,-501.48233,414.7074,59.28934,1,0
17.9082,-501.42148,414.95914,59.29797,1,0
18.30469,-501.32877,415.34235,59.31106,1,0
18.57812,-501.26465,415.60727,59.32005,1,0
18.87305,-501.19528,415.89377,59.32972,1,0
19.19727,-501.1191,416.20798,59.3403,1,0
19.69922,-501.00134,416.6938,59.35668,1,0
20.01172,-500.92792,416.9964,59.36694,1,0
20.43359,-500.8286,417.40533,59.38086,1,0
20.70703,-500.7645,417.66925,59.38995,1,0
21.12109,-500.66696,418.07062,59.40406,1,0
21.40039,-500.60098,418.34198,59.41376,1,0
21.74609,-500.51944,418.67725,59.42583,1,0
22.10938,-500.434,419.0283,59.43845,1,0
22.65625,-500.3048,419.5585,59.45734,1,0
23.10742,-500.19846,419.99478,59.47272,1,0
23.53711,-500.0967,420.41183,59.48736,1,0
23.95898,-499.9971,420.8199,59.50165,1,0
24.38281,-499.89713,421.22913,59.51604,1,0
24.8125,-499.79514,421.64624,59.53106,1,0
25.25195,-499.69107,422.0715,59.54689,1,0
25.69922,-499.58527,422.50375,59.56337,1,0
26.15039,-499.4782,422.94058,59.58013,1,0
26.59375,-499.373,423.3699,59.59644,1,0
27.03906,-499.26715,423.80112,59.61259,1,0
27.49414,-499.15884,424.24216,59.62888,1,0
27.96484,-499.04684,424.6976,59.64551,1,0
28.44141,-498.93344,425.1586,59.66236,1,0
28.91602,-498.82043,425.61765,59.67924,1,0
29.39062,-498.70737,426.07706,59.69668,1,0
29.86523,-498.59415,426.53653,59.71468,1,0
30.34766,-498.47882,427.00452,59.73327,1,0
30.83789,-498.36182,427.47903,59.75209,1,0
31.32617,-498.24536,427.95068,59.77053,1,0
31.81641,-498.128,428.42587,59.78869,1,0
32.30469,-498.01093,428.8994,59.80639,1,0
32.79688,-497.89334,429.37488,59.82386,1,0
33.29102,-497.77487,429.85364,59.84196,1,0
33.79492,-497.65427,430.34073,59.86082,1,0
34.30859,-497.53122,430.83765,59.88042,1,0
34.82617,-497.40686,431.33926,59.90034,1,0
