"Trackfile for F1 2020 Hanoi,"2020-07-06 23:29:42",0.000,25,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.8125,-358.89429,366.65927,0.30708,1,0
0.99219,-358.75366,366.54697,0.30705,1,0
1.38477,-358.44659,366.30185,0.30694,1,0
1.8125,-358.11374,366.03625,0.30678,1,0
2.47852,-357.59271,365.62042,0.30652,1,0
2.92383,-357.24582,365.34344,0.3064,1,0
3.3418,-356.91956,365.08301,0.30633,1,0
3.94141,-356.4509,364.70874,0.3063,1,0
4.28906,-356.17996,364.49243,0.30629,1,0
4.77539,-355.80035,364.18936,0.30628,1,0
5.23047,-355.44516,363.90573,0.30626,1,0
5.67188,-355.10046,363.63055,0.30621,1,0
6.10547,-354.76175,363.36023,0.30615,1,0
6.54102,-354.42154,363.08853,0.30609,1,0
6.98828,-354.07242,362.80991,0.30604,1,0
7.45117,-353.71146,362.52182,0.306,1,0
7.9082,-353.35489,362.23724,0.30596,1,0
8.33594,-353.02106,361.97079,0.30594,1,0
8.76953,-352.68182,361.70001,0.30592,1,0
9.20508,-352.34125,361.42819,0.30589,1,0
9.64844,-351.99615,361.15283,0.30585,1,0
9.95508,-351.75702,360.96201,0.30583,1,0
10.44531,-351.37372,360.65622,0.30578,1,0
10.93555,-350.99109,360.35095,0.30573,1,0
11.38672,-350.63818,360.06934,0.30569,1,0
11.83398,-350.28998,359.7915,0.30567,1,0
12.3125,-349.91513,359.49246,0.30566,1,0
12.80664,-349.52957,359.18494,0.30563,1,0
13.27539,-349.16397,358.89325,0.3056,1,0
13.72852,-348.80927,358.61032,0.30557,1,0
14.18945,-348.45071,358.3244,0.30555,1,0
14.65234,-348.08807,358.03519,0.30552,1,0
15.125,-347.71939,357.74115,0.3055,1,0
15.59766,-347.35031,357.44684,0.30547,1,0
16.07422,-346.97809,357.15005,0.30544,1,0
16.54492,-346.61005,356.85666,0.30542,1,0
17.03906,-346.22446,356.54938,0.30539,1,0
17.38281,-345.95566,356.33521,0.30537,1,0
17.90625,-345.54758,356.0101,0.30533,1,0
18.38672,-345.17163,355.71078,0.3053,1,0
18.84961,-344.80997,355.42285,0.30528,1,0
19.34766,-344.42075,355.11316,0.30527,1,0
19.34766,-344.42075,355.11316,0.30527,1,0
19.83984,-344.03641,354.80737,0.30524,1,0
19.83984,-344.03641,354.80737,0.30524,1,0
20.31641,-343.66272,354.51019,0.30521,1,0
20.80469,-343.28082,354.20654,0.30518,1,0
21.31055,-342.88574,353.89258,0.30515,1,0
21.80273,-342.50146,353.58725,0.30511,1,0
22.29297,-342.11777,353.28256,0.30508,1,0
22.78516,-341.73175,352.9761,0.30506,1,0
23.27148,-341.35187,352.67453,0.30503,1,0
23.7793,-340.95486,352.35953,0.305,1,0
24.29102,-340.55402,352.04156,0.30497,1,0
24.82812,-340.13425,351.70868,0.30493,1,0
25.19336,-339.84824,351.48193,0.3049,1,0
25.73633,-339.42337,351.14517,0.30486,1,0
26.24219,-339.02637,350.8306,0.30482,1,0
26.75977,-338.62125,350.5097,0.3048,1,0
27.14062,-338.32303,350.2735,0.30477,1,0
27.74609,-337.84912,349.89828,0.30473,1,0
28.19141,-337.50061,349.62244,0.30468,1,0
28.85938,-336.97659,349.20779,0.3046,1,0
29.29688,-336.63416,348.93692,0.30455,1,0
29.88086,-336.17636,348.57486,0.30451,1,0
30.26367,-335.87631,348.33765,0.30449,1,0
30.84375,-335.42328,347.97952,0.30447,1,0
31.42578,-334.96658,347.61862,0.30444,1,0
31.97656,-334.53436,347.27716,0.3044,1,0
32.51172,-334.11478,346.94574,0.30436,1,0
33.03711,-333.70303,346.62054,0.30432,1,0
33.57031,-333.28586,346.29111,0.30428,1,0
34.10352,-332.86795,345.96118,0.30424,1,0
34.63867,-332.44736,345.62915,0.3042,1,0
35.18164,-332.02237,345.2937,0.30416,1,0
35.55664,-331.72812,345.06149,0.30413,1,0
36.20898,-331.21542,344.65692,0.30408,1,0
36.46094,-331.01785,344.50104,0.30405,1,0
37.23438,-330.41052,344.02182,0.30394,1,0
37.7168,-330.03244,343.72348,0.30389,1,0
38.29492,-329.5787,343.36548,0.30386,1,0
38.875,-329.12222,343.00531,0.30386,1,0
39.29688,-328.79211,342.74487,0.30386,1,0
39.94141,-328.28571,342.34537,0.30383,1,0
40.56445,-327.79599,341.95911,0.30377,1,0
40.99609,-327.45691,341.69162,0.30373,1,0
41.68359,-326.91782,341.26645,0.30366,1,0
42.13086,-326.56613,340.98911,0.30361,1,0
42.76758,-326.06567,340.59445,0.30356,1,0
43.38477,-325.58228,340.21341,0.30353,1,0
43.96484,-325.12534,339.85321,0.30351,1,0
44.37305,-324.80542,339.6011,0.3035,1,0
45.03125,-324.2886,339.19391,0.30345,1,0
45.69141,-323.76968,338.78516,0.30339,1,0
46.29883,-323.29272,338.40952,0.30333,1,0
46.91602,-322.80743,338.02744,0.30329,1,0
47.50977,-322.34174,337.66083,0.30325,1,0
47.50977,-322.34174,337.66083,0.30325,1,0
48.0957,-321.88022,337.29764,0.30322,1,0
48.0957,-321.88022,337.29764,0.30322,1,0
48.68945,-321.41452,336.93127,0.30319,1,0
49.31055,-320.92642,336.54733,0.30315,1,0
49.74023,-320.58801,336.28119,0.30311,1,0
50.39453,-320.07343,335.87662,0.30305,1,0
50.82812,-319.73291,335.6091,0.30301,1,0
51.46875,-319.22919,335.2135,0.30296,1,0
52.13477,-318.70511,334.802,0.30292,1,0
52.76172,-318.21146,334.41461,0.30288,1,0
53.38281,-317.7233,334.03174,0.30284,1,0
53.81055,-317.38638,333.76764,0.30282,1,0
54.46875,-316.86908,333.3623,0.30277,1,0
55.12891,-316.3494,332.95532,0.30272,1,0
55.75391,-315.85727,332.57013,0.30267,1,0
56.37109,-315.37097,332.18973,0.30263,1,0
56.99023,-314.88284,331.80817,0.30259,1,0
57.64062,-314.36951,331.40707,0.30254,1,0
58.29297,-313.8558,331.00598,0.3025,1,0
58.93945,-313.34616,330.60822,0.30245,1,0
59.57812,-312.84344,330.21616,0.3024,1,0
60.2168,-312.33945,329.8233,0.30236,1,0
60.66797,-311.98318,329.54575,0.30233,1,0
61.38867,-311.41486,329.10309,0.30227,1,0
61.91016,-311.00275,328.78217,0.30223,1,0
62.67969,-310.39566,328.30954,0.30215,1,0
63.37891,-309.84357,327.87985,0.3021,1,0
64.02539,-309.3342,327.48349,0.30207,1,0
64.02539,-309.3342,327.48349,0.30207,1,0
64.68945,-308.80981,327.0755,0.30204,1,0
64.68945,-308.80981,327.0755,0.30204,1,0
