"Trackfile for F1 2020 Hungaroring,"2020-07-07 14:35:31",0.000,9,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.82812,-143.78148,454.56662,38.36625,1,0
1.22461,-144.08269,454.31155,38.36555,1,0
1.85156,-144.55896,453.90866,38.3633,1,0
2.27539,-144.88095,453.63651,38.3617,1,0
2.91016,-145.36241,453.22925,38.36038,1,0
3.31055,-145.66689,452.97183,38.36058,1,0
3.89453,-146.11061,452.5965,38.36151,1,0
4.27539,-146.40004,452.35175,38.3621,1,0
4.8418,-146.82936,451.98859,38.36253,1,0
5.2168,-147.11481,451.74719,38.36244,1,0
5.78125,-147.54375,451.38446,38.36188,1,0
6.16406,-147.83372,451.13916,38.36141,1,0
6.73242,-148.2652,450.77417,38.36102,1,0
7.29102,-148.68996,450.41498,38.36127,1,0
7.85156,-149.11467,450.05566,38.36202,1,0
8.22266,-149.39772,449.81619,38.36262,1,0
8.78125,-149.82071,449.45837,38.3635,1,0
9.33594,-150.24298,449.1011,38.36426,1,0
9.33594,-150.24298,449.1011,38.36426,1,0
9.89062,-150.66335,448.74554,38.36481,1,0
10.25977,-150.94478,448.50751,38.36513,1,0
10.8418,-151.38568,448.13452,38.36556,1,0
11.23633,-151.68571,447.88062,38.36577,1,0
11.8418,-152.14622,447.49097,38.36598,1,0
12.24414,-152.45164,447.23264,38.36611,1,0
12.8418,-152.90436,446.84958,38.36649,1,0
13.4043,-153.33209,446.48761,38.36707,1,0
13.96484,-153.75729,446.12799,38.36768,1,0
14.35156,-154.05154,445.879,38.36796,1,0
14.94336,-154.50163,445.49808,38.36772,1,0
15.52148,-154.9402,445.12695,38.36668,1,0
16.08203,-155.36617,444.76651,38.36532,1,0
16.4668,-155.65804,444.51965,38.36446,1,0
17.05664,-156.10587,444.1409,38.36354,1,0
17.45312,-156.40749,443.88574,38.36317,1,0
18.03516,-156.84869,443.51248,38.36276,1,0
18.41797,-157.14015,443.26584,38.36231,1,0
18.99805,-157.58121,442.8927,38.36111,1,0
19.38477,-157.87448,442.64459,38.35999,1,0
19.96875,-158.31853,442.26886,38.3581,1,0
20.36523,-158.61905,442.01462,38.35686,1,0
20.98047,-159.08646,441.61923,38.35521,1,0
21.39844,-159.40375,441.35086,38.35424,1,0
22.03125,-159.88443,440.94431,38.35284,1,0
22.45117,-160.20439,440.67368,38.35181,1,0
23.10156,-160.69809,440.25632,38.35,1,0
23.5293,-161.0229,439.98178,38.34872,1,0
24.1582,-161.50081,439.578,38.34684,1,0
24.56055,-161.80705,439.31934,38.34568,1,0
25.15234,-162.25671,438.93964,38.34407,1,0
25.73242,-162.69798,438.56729,38.34253,1,0
26.30859,-163.13553,438.19821,38.34102,1,0
26.88867,-163.57764,437.82541,38.33954,1,0
27.29102,-163.88396,437.56723,38.33854,1,0
27.90234,-164.34834,437.17596,38.33702,1,0
28.51367,-164.8145,436.78336,38.3355,1,0
28.91602,-165.121,436.52521,38.33452,1,0
29.52148,-165.58209,436.13715,38.33306,1,0
29.93945,-165.89978,435.86981,38.33215,1,0
30.38086,-166.23631,435.58676,38.33138,1,0
31.08789,-166.77505,435.13394,38.33056,1,0
31.34375,-166.97008,434.97006,38.33034,1,0
31.9082,-167.40027,434.6087,38.3299,1,0
32.22266,-167.63954,434.40771,38.32961,1,0
33.17188,-168.36316,433.80014,38.32844,1,0
33.48633,-168.60335,433.59857,38.32801,1,0
34.29102,-169.21732,433.08353,38.32734,1,0
34.76367,-169.5773,432.78162,38.32735,1,0
35.43164,-170.08597,432.35507,38.32769,1,0
35.86914,-170.42067,432.07458,38.32796,1,0
36.53125,-170.92548,431.6517,38.32822,1,0
36.95508,-171.24947,431.3804,38.32824,1,0
37.57422,-171.72241,430.98441,38.32818,1,0
38.16797,-172.1754,430.60519,38.32832,1,0
38.77539,-172.63812,430.21802,38.32881,1,0
39.18555,-172.95247,429.95508,38.3293,1,0
39.80078,-173.42223,429.56226,38.3301,1,0
40.39453,-173.87514,429.18359,38.3308,1,0
41.02344,-174.35518,428.7825,38.33138,1,0
41.47656,-174.7025,428.49231,38.33176,1,0
42.16406,-175.22705,428.05417,38.3325,1,0
42.79883,-175.71178,427.64954,38.33343,1,0
43.22266,-176.03653,427.37845,38.33416,1,0
43.68359,-176.38882,427.0845,38.33496,1,0
44.41016,-176.94356,426.62173,38.33614,1,0
44.92578,-177.33878,426.29218,38.3369,1,0
45.65625,-177.89667,425.82721,38.33788,1,0
46.35352,-178.43024,425.38245,38.33881,1,0
46.78125,-178.75746,425.1098,38.33936,1,0
47.42383,-179.24867,424.70068,38.34014,1,0
48.05469,-179.73199,424.29822,38.34083,1,0
48.67773,-180.20883,423.90131,38.34151,1,0
49.30664,-180.69025,423.50067,38.3422,1,0
49.92773,-181.1653,423.10535,38.3428,1,0
50.53906,-181.63403,422.71558,38.34323,1,0
51.15234,-182.10349,422.3252,38.34353,1,0
51.77539,-182.58124,421.92816,38.34374,1,0
52.40039,-183.05949,421.53079,38.34396,1,0
53.02148,-183.53593,421.13492,38.34424,1,0
53.64062,-184.00974,420.74149,38.34456,1,0
54.25977,-184.48425,420.34763,38.3448,1,0
54.88086,-184.96089,419.95193,38.34491,1,0
55.51367,-185.44511,419.55002,38.34491,1,0
56.13867,-185.9238,419.15292,38.34487,1,0
56.76172,-186.40224,418.75613,38.34487,1,0
57.38477,-186.88029,418.35971,38.34493,1,0
58.01367,-187.36206,417.96033,38.34489,1,0
58.64453,-187.84608,417.55917,38.3447,1,0
59.28906,-188.3405,417.14963,38.34439,1,0
59.93945,-188.83943,416.73636,38.34407,1,0
60.60352,-189.34854,416.31476,38.34382,1,0
61.07617,-189.71098,416.01462,38.34369,1,0
61.78906,-190.25826,415.56155,38.34341,1,0
62.26562,-190.62395,415.25885,38.34313,1,0
62.95703,-191.15338,414.82065,38.34262,1,0
63.42773,-191.5159,414.52063,38.34224,1,0
64.14062,-192.06267,414.06815,38.3417,1,0
64.60938,-192.42198,413.77078,38.3414,1,0
65.29492,-192.94832,413.33514,38.34099,1,0
65.75,-193.29723,413.04623,38.34066,1,0
66.44922,-193.83348,412.60229,38.34005,1,0
66.92969,-194.20242,412.29675,38.33957,1,0
67.62695,-194.73698,411.85419,38.33886,1,0
68.30078,-195.25388,411.42596,38.3382,1,0
68.94531,-195.74896,411.01581,38.33764,1,0
69.60352,-196.25328,410.59784,38.33702,1,0
70.26367,-196.75906,410.17856,38.33638,1,0
70.91992,-197.26254,409.76114,38.3357,1,0
71.57031,-197.76062,409.34824,38.33504,1,0
72.2207,-198.26036,408.93378,38.33442,1,0
72.86719,-198.75487,408.52362,38.3338,1,0
73.51562,-199.25253,408.11072,38.33318,1,0
74.18164,-199.76355,407.68677,38.33257,1,0
74.85938,-200.282,407.25656,38.33194,1,0
75.51562,-200.78593,406.83829,38.33132,1,0
76.18164,-201.2964,406.41458,38.33072,1,0
76.64062,-201.6483,406.12247,38.33032,1,0
77.3418,-202.18556,405.67636,38.32976,1,0
78.02344,-202.70695,405.24353,38.32928,1,0
78.69531,-203.22174,404.81607,38.32888,1,0
79.36523,-203.73639,404.38873,38.32854,1,0
80.04297,-204.25484,403.95825,38.32815,1,0
80.72656,-204.77896,403.52301,38.32774,1,0
81.4082,-205.30084,403.08963,38.32743,1,0
82.08789,-205.82281,402.65619,38.3273,1,0
82.55664,-206.1815,402.35834,38.32731,1,0
83.26953,-206.7278,401.90466,38.32738,1,0
83.74609,-207.09283,401.60156,38.3274,1,0
84.45898,-207.63959,401.14746,38.32735,1,0
84.93555,-208.00356,400.84525,38.32731,1,0
85.66406,-208.56268,400.38092,38.32738,1,0
86.15039,-208.93497,400.07172,38.32755,1,0
86.15039,-208.93497,400.07172,38.32755,1,0
86.87891,-209.49289,399.6084,38.32789,1,0
87.58594,-210.0347,399.15854,38.32825,1,0
88.0625,-210.39986,398.85532,38.32847,1,0
88.79492,-210.96161,398.38876,38.32875,1,0
89.50781,-211.50809,397.93497,38.32911,1,0
90.20508,-212.04172,397.49203,38.32964,1,0
90.90625,-212.57956,397.04562,38.33031,1,0
91.5957,-213.10835,396.60675,38.331,1,0
91.5957,-213.10835,396.60675,38.331,1,0
92.26172,-213.61795,396.18369,38.33159,1,0
92.92188,-214.12505,395.76282,38.33216,1,0
93.59766,-214.64244,395.33344,38.3328,1,0
94.27148,-215.15976,394.90417,38.3335,1,0
94.95117,-215.683,394.47003,38.33426,1,0
95.63672,-216.21109,394.03186,38.33501,1,0
96.31055,-216.73157,393.6001,38.33572,1,0
96.97461,-217.24303,393.1759,38.3364,1,0
97.64648,-217.76166,392.74585,38.33702,1,0
98.33398,-218.29156,392.3064,38.33756,1,0
99.0293,-218.82755,391.86203,38.33804,1,0
99.72461,-219.36342,391.41779,38.33854,1,0
100.42188,-219.90201,390.97141,38.33908,1,0
100.89453,-220.26656,390.66925,38.33945,1,0
101.62305,-220.82777,390.20422,38.3399,1,0
102.35156,-221.39034,389.73816,38.34022,1,0
103.06445,-221.93944,389.28333,38.34045,1,0
103.75195,-222.47026,388.84369,38.3407,1,0
103.75195,-222.47026,388.84369,38.3407,1,0
104.42969,-222.99213,388.41156,38.34097,1,0
105.10938,-223.51741,387.97678,38.34122,1,0
105.79883,-224.04965,387.53622,38.34129,1,0
106.49023,-224.58342,387.09451,38.34119,1,0
107.1875,-225.12166,386.6492,38.341,1,0
107.88281,-225.65823,386.20535,38.34084,1,0
108.56836,-226.1866,385.76837,38.34073,1,0
109.25977,-226.72079,385.32666,38.34057,1,0
109.96289,-227.26373,384.87787,38.34031,1,0
110.66406,-227.80522,384.43033,38.33994,1,0
111.375,-228.35382,383.97696,38.33952,1,0
112.09961,-228.91267,383.51517,38.33913,1,0
112.8125,-229.46405,383.05972,38.3388,1,0
113.51562,-230.00612,382.61203,38.33862,1,0
114.21875,-230.54938,382.16345,38.33867,1,0
114.92383,-231.09372,381.71396,38.33891,1,0
115.62305,-231.63348,381.2684,38.3392,1,0
116.3125,-232.16711,380.82794,38.33945,1,0
117.00781,-232.70459,380.38446,38.33973,1,0
117.71875,-233.25351,379.93161,38.34015,1,0
118.4375,-233.80901,379.47336,38.34077,1,0
118.94336,-234.19868,379.15198,38.34129,1,0
119.72656,-234.80424,378.65271,38.34215,1,0
120.26367,-235.21912,378.3107,38.3427,1,0
121.02734,-235.80956,377.82401,38.34333,1,0
121.77148,-236.38567,377.34924,38.34338,1,0
121.77148,-236.38567,377.34924,38.34338,1,0
122.52148,-236.96495,376.87195,38.34283,1,0
123.04102,-237.36674,376.54095,38.34226,1,0
123.82031,-237.96838,376.04541,38.34141,1,0
124.58008,-238.55585,375.56161,38.34074,1,0
125.08984,-238.94998,375.23712,38.34012,1,0
125.85547,-239.54259,374.7493,38.33855,1,0
126.5957,-240.11482,374.27835,38.33636,1,0
127.31641,-240.67223,373.81967,38.33394,1,0
128.04883,-241.2397,373.35281,38.33154,1,0
128.55469,-241.63095,373.03101,38.32999,1,0
129.32227,-242.22415,372.54318,38.32792,1,0
130.06641,-242.79936,372.07016,38.32634,1,0
130.79688,-243.36461,371.60538,38.32507,1,0
131.5332,-243.93471,371.13669,38.32383,1,0
132.25586,-244.49377,370.67725,38.32254,1,0
132.97852,-245.05321,370.21759,38.32144,1,0
133.71094,-245.61954,369.75229,38.32104,1,0
134.45117,-246.19281,369.28134,38.32136,1,0
135.21094,-246.78157,368.79782,38.32208,1,0
136.00977,-247.39897,368.29089,38.32277,1,0
136.80469,-248.01408,367.78604,38.32326,1,0
137.35156,-248.43739,367.43866,38.32364,1,0
138.14453,-249.05214,366.93436,38.32431,1,0
138.91406,-249.64742,366.44611,38.32508,1,0
139.65234,-250.22023,365.97641,38.3259,1,0
140.39453,-250.79498,365.50516,38.32668,1,0
141.13086,-251.36444,365.03854,38.32735,1,0
141.13086,-251.36444,365.03854,38.32735,1,0
141.89258,-251.95543,364.55423,38.32791,1,0
142.69531,-252.57704,364.04489,38.32838,1,0
143.50586,-253.20593,363.52972,38.32879,1,0
144.27344,-253.79941,363.0437,38.32924,1,0
145.0293,-254.38531,362.564,38.32972,1,0
145.80859,-254.98933,362.06955,38.33015,1,0
146.3457,-255.40671,361.72806,38.33038,1,0
147.16797,-256.04358,361.207,38.33065,1,0
147.99219,-256.68332,360.68365,38.33087,1,0
148.54492,-257.11136,360.33371,38.33105,1,0
149.40625,-257.7793,359.7876,38.33121,1,0
149.98633,-258.22943,359.41956,38.33121,1,0
150.8457,-258.89471,358.87582,38.33104,1,0
151.63867,-259.51089,358.37216,38.33076,1,0
152.38281,-260.08789,357.90067,38.33055,1,0
152.9043,-260.49149,357.57098,38.33042,1,0
153.75391,-261.15067,357.03256,38.3302,1,0
154.33203,-261.59991,356.66568,38.33003,1,0
155.22656,-262.29346,356.09927,38.32971,1,0
155.80859,-262.74463,355.73077,38.32944,1,0
156.68555,-263.42532,355.17511,38.32909,1,0
157.24609,-263.8609,354.81949,38.32897,1,0
158.09766,-264.52173,354.27997,38.32902,1,0
158.75586,-265.03232,353.86319,38.32918,1,0
159.20117,-265.37738,353.58151,38.3293,1,0
160.13281,-266.10059,352.99118,38.32948,1,0
161.50391,-267.16522,352.12231,38.3297,1,0
162.16797,-267.67963,351.70255,38.32991,1,0
163.01172,-268.33475,351.16788,38.33029,1,0
