"Trackfile for F1 2020 Mexico,"2020-07-08 00:05:21",0.000,19,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
1.39844,-801.4436,-1017.771,0.17285,0,0
2.04492,-800.80743,-1017.6817,0.17685,0,0
2.75977,-800.10461,-1017.5827,0.18076,0,0
3.5332,-799.34332,-1017.4751,0.18504,0,0
4.35352,-798.53693,-1017.36029,0.19,0,0
5.53516,-797.37469,-1017.19385,0.19736,0,0
6.26172,-796.66083,-1017.09131,0.20186,0,0
6.98438,-795.94989,-1016.98877,0.20629,0,0
8.07031,-794.8819,-1016.83344,0.21273,0,0
8.77734,-794.18622,-1016.73206,0.21681,0,0
9.75195,-793.22888,-1016.59161,0.22238,0,0
10.37109,-792.62103,-1016.50189,0.22596,0,0
11.29102,-791.71588,-1016.36823,0.23139,0,0
12.19922,-790.82343,-1016.23578,0.23685,0,0
13.0957,-789.94183,-1016.10468,0.2423,0,0
13.99023,-789.06403,-1015.97357,0.24776,0,0
14.59961,-788.46527,-1015.88385,0.25149,0,0
15.54492,-787.53558,-1015.74408,0.25731,0,0
16.18164,-786.91138,-1015.64966,0.26124,0,0
17.12305,-785.98499,-1015.50922,0.2671,0,0
17.75977,-785.36078,-1015.41443,0.27108,0,0
18.72656,-784.41144,-1015.27002,0.27719,0,0
19.38281,-783.76672,-1015.17175,0.28154,0,0
20.32812,-782.8371,-1015.02991,0.28794,0,0
21.25586,-781.92621,-1014.89038,0.29407,0,0
22.17188,-781.02643,-1014.75226,0.29984,0,0
22.78711,-780.42218,-1014.65924,0.30359,0,0
23.74219,-779.48566,-1014.51526,0.30929,0,0
24.38867,-778.85077,-1014.41742,0.31315,0,0
25.33203,-777.92377,-1014.27466,0.31885,0,0
26.23438,-777.03827,-1014.1377,0.32435,0,0
27.12695,-776.16046,-1014.00214,0.32982,0,0
28.00195,-775.30231,-1013.8692,0.33514,0,0
28.88086,-774.43915,-1013.73553,0.34044,0,0
29.73242,-773.60327,-1013.6059,0.34553,0,0
30.57031,-772.78003,-1013.47809,0.35051,0,0
31.41016,-771.9563,-1013.35028,0.35551,0,0
32.25391,-771.12653,-1013.22137,0.36055,0,0
33.08008,-770.31549,-1013.09528,0.36552,0,0
33.89062,-769.52112,-1012.97168,0.37042,0,0
34.71484,-768.71075,-1012.84546,0.37544,0,0
35.54688,-767.8952,-1012.71802,0.38051,0,0
36.375,-767.08148,-1012.59131,0.38558,0,0
37.26562,-766.20697,-1012.45471,0.39102,0,0
37.96484,-765.52045,-1012.34729,0.39529,0,0
39.10352,-764.40216,-1012.17249,0.40223,0,0
39.84961,-763.6701,-1012.05823,0.40678,0,0
40.875,-762.66431,-1011.901,0.41304,0,0
41.52734,-762.02319,-1011.80103,0.41705,0,0
42.5,-761.06903,-1011.65192,0.423,0,0
43.44141,-760.13928,-1011.50653,0.42879,0,0
44.06836,-759.5199,-1011.40948,0.43264,0,0
45.00586,-758.59229,-1011.2641,0.43837,0,0
