"Trackfile for F1 2020 Monaco,"2020-07-07 09:57:54",0.000,5,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.35352,-349.88687,210.81354,-13.79919,1,0
0.72266,-349.92896,210.44568,-13.79908,1,0
1.11328,-349.97302,210.05678,-13.799,1,0
1.71289,-350.03986,209.46083,-13.79889,1,0
2.0918,-350.08173,209.08394,-13.79883,1,0
2.64062,-350.14175,208.53833,-13.79873,1,0
3.14844,-350.1965,208.03349,-13.79871,1,0
3.62891,-350.24777,207.55582,-13.79875,1,0
4.10742,-350.29828,207.08057,-13.79886,1,0
4.60156,-350.34976,206.58904,-13.79901,1,0
5.10352,-350.40161,206.08984,-13.79918,1,0
5.60352,-350.4527,205.59274,-13.79932,1,0
6.10742,-350.50354,205.09105,-13.79946,1,0
6.61914,-350.55444,204.58243,-13.79963,1,0
7.13086,-350.60483,204.07321,-13.79985,1,0
7.49609,-350.6405,203.70909,-13.80004,1,0
8.04883,-350.69406,203.15976,-13.80039,1,0
8.57422,-350.7446,202.63512,-13.80073,1,0
8.57422,-350.7446,202.63512,-13.80073,1,0
8.92188,-350.77756,202.28915,-13.80094,1,0
9.46289,-350.82855,201.7509,-13.80122,1,0
10.01172,-350.87982,201.20428,-13.80151,1,0
10.37695,-350.91351,200.84183,-13.80171,1,0
10.91992,-350.96332,200.30022,-13.80204,1,0
11.46289,-351.01251,199.76111,-13.80241,1,0
11.82812,-351.04547,199.3959,-13.80266,1,0
12.39062,-351.09564,198.83693,-13.80303,1,0
12.92578,-351.14307,198.30322,-13.80338,1,0
13.46094,-351.18973,197.77153,-13.8037,1,0
13.67188,-351.2081,197.56108,-13.80383,1,0
14.31445,-351.26373,196.91988,-13.80425,1,0
14.95508,-351.31842,196.28308,-13.8047,1,0
15.32812,-351.3501,195.91112,-13.80495,1,0
15.89453,-351.39783,195.34602,-13.80531,1,0
16.4668,-351.44528,194.77716,-13.80568,1,0
17.06445,-351.49478,194.18175,-13.80608,1,0
17.46484,-351.52789,193.78165,-13.80636,1,0
18.06445,-351.57703,193.18378,-13.8068,1,0
18.62891,-351.62262,192.62292,-13.80721,1,0
19.18555,-351.66748,192.06837,-13.8076,1,0
19.61328,-351.70178,191.64226,-13.80788,1,0
20.26758,-351.75369,190.9902,-13.80835,1,0
20.91406,-351.80475,190.34494,-13.80883,1,0
21.31836,-351.83658,189.94156,-13.80913,1,0
21.95312,-351.88614,189.30896,-13.80961,1,0
22.37695,-351.91904,188.88712,-13.80993,1,0
22.37695,-351.91904,188.88712,-13.80993,1,0
23.03516,-351.96967,188.23109,-13.81044,1,0
23.48438,-352.00406,187.78371,-13.8108,1,0
24.1582,-352.05533,187.11143,-13.81137,1,0
24.60156,-352.08887,186.67072,-13.81175,1,0
25.25,-352.13766,186.02301,-13.81231,1,0
25.86719,-352.18365,185.40779,-13.81284,1,0
26.27344,-352.21368,185.00272,-13.81318,1,0
26.87891,-352.25818,184.39885,-13.81373,1,0
27.45703,-352.30029,183.82118,-13.81432,1,0
28.05273,-352.34314,183.22781,-13.81497,1,0
28.51172,-352.37589,182.77003,-13.81549,1,0
29.22656,-352.4263,182.05655,-13.8163,1,0
29.71289,-352.46011,181.57039,-13.8168,1,0
30.42969,-352.50916,180.85596,-13.81752,1,0
30.95117,-352.5444,180.33508,-13.81809,1,0
31.48047,-352.57956,179.80838,-13.81872,1,0
32.24219,-352.62973,179.0473,-13.81973,1,0
32.89062,-352.6716,178.39969,-13.82057,1,0
33.49219,-352.70981,177.80028,-13.8213,1,0
33.92188,-352.73679,177.3699,-13.82179,1,0
34.64648,-352.78152,176.64688,-13.82264,1,0
35.12305,-352.81036,176.17213,-13.82322,1,0
35.78516,-352.84988,175.51163,-13.82407,1,0
36.41016,-352.88654,174.88762,-13.82489,1,0
37.04688,-352.92316,174.2518,-13.82573,1,0
37.48828,-352.94806,173.81111,-13.82631,1,0
38.13477,-352.98392,173.16429,-13.82716,1,0
38.80078,-353.01974,172.49991,-13.828,1,0
39.2832,-353.04498,172.01917,-13.82857,1,0
40.0293,-353.0831,171.27368,-13.82938,1,0
40.72656,-353.11768,170.57611,-13.83016,1,0
41.19531,-353.13995,170.10901,-13.83076,1,0
41.89258,-353.17188,169.41318,-13.83177,1,0
42.56445,-353.20126,168.74117,-13.83274,1,0
43.2168,-353.22836,168.09007,-13.83344,1,0
43.87891,-353.25461,167.42789,-13.83387,1,0
44.57031,-353.28052,166.73846,-13.83419,1,0
45.04688,-353.29764,166.26163,-13.83445,1,0
45.79883,-353.32327,165.51019,-13.83501,1,0
46.51367,-353.34616,164.79526,-13.83567,1,0
47.17969,-353.36618,164.13004,-13.83617,1,0
47.63086,-353.37909,163.68082,-13.8364,1,0
48.36523,-353.39914,162.94621,-13.83664,1,0
48.87305,-353.4122,162.43935,-13.83676,1,0
49.64062,-353.43088,161.67276,-13.83699,1,0
50.12695,-353.44205,161.18527,-13.8372,1,0
50.84961,-353.45776,160.46402,-13.8375,1,0
51.5625,-353.47223,159.75104,-13.83769,1,0
52.27344,-353.48569,159.03967,-13.83777,1,0
52.76953,-353.49448,158.54305,-13.83781,1,0
53.51562,-353.50677,157.79785,-13.83793,1,0
54.25195,-353.51776,157.06194,-13.83815,1,0
54.72852,-353.52435,156.58456,-13.83837,1,0
54.72852,-353.52435,156.58456,-13.83837,1,0
55.44727,-353.53345,155.86615,-13.83891,1,0
55.93359,-353.53897,155.37935,-13.83938,1,0
56.69336,-353.54657,154.6189,-13.84017,1,0
57.20117,-353.55096,154.11232,-13.84067,1,0
57.94727,-353.5563,153.3647,-13.84133,1,0
58.45508,-353.55923,152.85712,-13.84183,1,0
59.25781,-353.56268,152.05357,-13.84294,1,0
59.80859,-353.56421,151.50366,-13.84392,1,0
60.58984,-353.56512,150.72134,-13.8454,1,0
61.08789,-353.56494,150.22298,-13.8463,1,0
61.81641,-353.56348,149.49364,-13.84748,1,0
62.55859,-353.56064,148.75267,-13.84868,1,0
63.0957,-353.55765,148.21419,-13.84966,1,0
63.74219,-353.55298,147.56769,-13.85098,1,0
64.41406,-353.54691,146.8969,-13.85246,1,0
65.36523,-353.5361,145.94452,-13.85457,1,0
65.90234,-353.52881,145.40672,-13.85573,1,0
66.70508,-353.51639,144.6048,-13.85754,1,0
67.28125,-353.50629,144.02792,-13.85896,1,0
68.11523,-353.48993,143.19426,-13.86111,1,0
68.90625,-353.4725,142.40427,-13.86314,1,0
69.6582,-353.45419,141.65172,-13.865,1,0
70.42578,-353.43381,140.88354,-13.86694,1,0
