"Trackfile for F1 2020 Montreal,"2020-07-07 11:51:30",0.000,6,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.94922,373.65567,1132.80115,87.63327,1,0
1.875,373.8284,1133.70947,87.63324,1,0
2.52344,373.94891,1134.34668,87.63323,1,0
2.52344,373.94891,1134.34668,87.63323,1,0
3.24805,374.08316,1135.05774,87.63319,1,0
3.98438,374.21869,1135.77966,87.63316,1,0
5.02148,374.40906,1136.7998,87.63314,1,0
5.83008,374.55615,1137.59314,87.63314,1,0
6.60742,374.69714,1138.35779,87.63314,1,0
7.15625,374.7959,1138.89685,87.63314,1,0
7.96289,374.94055,1139.69055,87.63314,1,0
8.70508,375.07263,1140.42004,87.63314,1,0
9.44141,375.20261,1141.14355,87.63314,1,0
10.17383,375.33136,1141.86462,87.63314,1,0
10.91211,375.46014,1142.59143,87.63314,1,0
11.68359,375.59354,1143.35022,87.63314,1,0
12.69141,375.7663,1144.34204,87.63314,1,0
13.40039,375.88651,1145.04028,87.63314,1,0
14.10547,376.00513,1145.73511,87.63314,1,0
14.88867,376.13556,1146.5072,87.63304,1,0
15.46875,376.23129,1147.07947,87.63294,1,0
16.57227,376.41104,1148.16748,87.63292,1,0
17.28125,376.52481,1148.86609,87.63292,1,0
18.00586,376.63983,1149.58057,87.63292,1,0
18.80078,376.76471,1150.36572,87.63292,1,0
19.57617,376.88504,1151.13281,87.63288,1,0
20.31055,376.99713,1151.85693,87.63281,1,0
21.07422,377.11258,1152.61279,87.63281,1,0
21.85938,377.22949,1153.38916,87.63281,1,0
22.59961,377.33804,1154.12061,87.63273,1,0
23.55664,377.47623,1155.0675,87.63273,1,0
23.55664,377.47623,1155.0675,87.63273,1,0
24.25977,377.57626,1155.76392,87.63273,1,0
25.00977,377.6813,1156.50684,87.63272,1,0
25.80859,377.79141,1157.29785,87.63261,1,0
26.59961,377.89868,1158.08154,87.63261,1,0
27.32031,377.99475,1158.79565,87.63261,1,0
28.05859,378.0918,1159.52856,87.63261,1,0
29.0293,378.21686,1160.49182,87.63251,1,0
29.73047,378.30533,1161.18677,87.63251,1,0
30.6582,378.42029,1162.10742,87.63251,1,0
31.36328,378.50586,1162.80676,87.63243,1,0
32.0918,378.59299,1163.53125,87.63242,1,0
33.06055,378.70615,1164.49231,87.63239,1,0
33.76953,378.78732,1165.19666,87.63236,1,0
34.48828,378.86819,1165.91138,87.63232,1,0
35.22266,378.94907,1166.63989,87.63229,1,0
35.99805,379.03299,1167.4115,87.63229,1,0
36.76758,379.11435,1168.17542,87.63217,1,0
37.53711,379.19431,1168.94092,87.63217,1,0
38.52539,379.29446,1169.92371,87.63217,1,0
39.03516,379.345,1170.4303,87.6321,1,0
39.83203,379.42261,1171.22229,87.63205,1,0
40.60938,379.4967,1171.99597,87.63203,1,0
41.60156,379.58893,1172.98328,87.63197,1,0
42.10547,379.63464,1173.48376,87.63195,1,0
43.10352,379.72324,1174.47485,87.6319,1,0
43.63477,379.76944,1175.00366,87.6319,1,0
44.45117,379.83893,1175.81519,87.63179,1,0
45.29688,379.909,1176.65454,87.63179,1,0
46.17188,379.97977,1177.5249,87.63172,1,0
46.79883,380.02927,1178.14771,87.6317,1,0
47.79883,380.10623,1179.14233,87.63163,1,0
48.48438,380.15768,1179.82507,87.63161,1,0
49.69336,380.24542,1181.02759,87.63159,1,0
50.45117,380.29852,1181.7804,87.63153,1,0
51.41992,380.36459,1182.74524,87.63152,1,0
51.92383,380.39801,1183.24634,87.6315,1,0
52.95898,380.46478,1184.276,87.63142,1,0
53.69922,380.51096,1185.01245,87.63142,1,0
54.42383,380.55487,1185.73352,87.63138,1,0
55.42578,380.61337,1186.72839,87.63129,1,0
56.17188,380.65552,1187.47058,87.63129,1,0
57.14258,380.7084,1188.43677,87.63126,1,0
57.89062,380.74765,1189.17981,87.63116,1,0
58.70312,380.78888,1189.98816,87.63115,1,0
59.52344,380.82904,1190.80396,87.63111,1,0
60.31055,380.86609,1191.58569,87.63107,1,0
61.08594,380.90134,1192.35779,87.63105,1,0
61.91211,380.93732,1193.17749,87.63099,1,0
62.75977,380.97275,1194.02014,87.63095,1,0
63.82617,381.01508,1195.07898,87.63086,1,0
64.57617,381.04343,1195.82593,87.63085,1,0
65.34961,381.07141,1196.59631,87.63085,1,0
66.13086,381.09827,1197.37268,87.63076,1,0
66.98438,381.12613,1198.22327,87.63075,1,0
