"Trackfile for F1 2020 Monza,"2020-07-07 16:50:06",0.000,11,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.22852,-621.88208,601.95966,-3.0881,0,0
0.75977,-621.8338,601.43243,-3.08578,0,0
1.58203,-621.75897,600.61682,-3.08253,0,0
2.14844,-621.70673,600.05499,-3.08084,0,0
2.99414,-621.62823,599.21503,-3.07786,0,0
3.54492,-621.57697,598.66943,-3.07565,0,0
4.33789,-621.50262,597.88202,-3.07234,0,0
4.87891,-621.45178,597.34625,-3.07009,0,0
5.70312,-621.3736,596.5285,-3.06672,0,0
6.25977,-621.32086,595.97729,-3.06447,0,0
7.08789,-621.24182,595.15613,-3.06115,0,0
7.63477,-621.1897,594.61371,-3.05892,0,0
8.44922,-621.11182,593.80652,-3.05548,0,0
8.97656,-621.06097,593.28271,-3.05316,0,0
9.76367,-620.9848,592.50287,-3.0496,0,0
10.53711,-620.90985,591.73663,-3.04604,0,0
11.0625,-620.85901,591.21454,-3.04361,0,0
11.86133,-620.78125,590.42175,-3.0399,0,0
12.39258,-620.72955,589.89685,-3.0374,0,0
13.19531,-620.65143,589.10046,-3.03356,0,0
13.73242,-620.59888,588.56805,-3.03096,0,0
14.54492,-620.51941,587.76294,-3.02701,0,0
15.32812,-620.44287,586.98462,-3.0232,0,0
15.84961,-620.39197,586.46851,-3.02068,0,0
16.63672,-620.31464,585.68744,-3.01686,0,0
17.17383,-620.26251,585.15625,-3.01427,0,0
18.00195,-620.18176,584.33417,-3.01026,0,0
18.57422,-620.12592,583.76782,-3.00751,0,0
18.57422,-620.12592,583.76782,-3.00751,0,0
19.42578,-620.04303,582.92206,-3.00339,0,0
19.97656,-619.9892,582.37585,-3.00073,0,0
20.7793,-619.91101,581.58038,-2.99687,0,0
21.56055,-619.83521,580.80621,-2.9931,0,0
22.33594,-619.76013,580.03796,-2.98937,0,0
23.11914,-619.68433,579.2608,-2.98559,0,0
23.64062,-619.63379,578.74292,-2.98308,0,0
24.43359,-619.55725,577.95795,-2.97927,0,0
24.96875,-619.50562,577.42755,-2.9767,0,0
25.75977,-619.42908,576.64178,-2.97289,0,0
26.55859,-619.35254,575.85016,-2.96904,0,0
27.09961,-619.30048,575.31433,-2.96644,0,0
27.93164,-619.22058,574.48834,-2.9624,0,0
28.49023,-619.1676,573.93567,-2.95968,0,0
29.34961,-619.08557,573.08313,-2.95546,0,0
29.91406,-619.03174,572.52271,-2.95269,0,0
30.7793,-618.94928,571.66443,-2.94847,0,0
31.35742,-618.89417,571.09235,-2.94566,0,0
32.2207,-618.81213,570.2356,-2.94139,0,0
32.7793,-618.75916,569.68164,-2.9386,0,0
33.65234,-618.67627,568.8158,-2.93421,0,0
34.26172,-618.61859,568.2121,-2.93117,0,0
35.20508,-618.52936,567.27679,-2.92651,0,0
35.82617,-618.4704,566.65942,-2.92343,0,0
36.78125,-618.37976,565.71246,-2.91864,0,0
37.44531,-618.31726,565.05511,-2.9153,0,0
38.42188,-618.22449,564.08417,-2.91039,0,0
39.05273,-618.16467,563.45734,-2.90724,0,0
39.69336,-618.104,562.81921,-2.90405,0,0
40.36523,-618.04053,562.15094,-2.9007,0,0
41.10352,-617.97028,561.41516,-2.89701,0,0
41.86914,-617.89777,560.65332,-2.8932,0,0
42.63477,-617.82526,559.89142,-2.88942,0,0
43.39648,-617.7533,559.13275,-2.88568,0,0
44.45898,-617.65271,558.07593,-2.88044,0,0
45.125,-617.58966,557.41406,-2.87713,0,0
46.03906,-617.50293,556.50256,-2.87256,0,0
46.9082,-617.42059,555.63849,-2.86828,0,0
47.75,-617.34113,554.80048,-2.86417,0,0
48.5957,-617.26093,553.95764,-2.86003,0,0
49.43164,-617.18182,553.12634,-2.85596,0,0
50.27539,-617.10199,552.28711,-2.85187,0,0
50.61133,-617.07007,551.95258,-2.85024,0,0
51.66016,-616.97046,550.90747,-2.84523,0,0
52.36523,-616.90356,550.20715,-2.84191,0,0
53.30664,-616.8139,549.26904,-2.83746,0,0
54.17383,-616.73175,548.40552,-2.83334,0,0
54.76562,-616.67572,547.81824,-2.83054,0,0
55.65625,-616.59088,546.93018,-2.82635,0,0
56.55273,-616.50592,546.03906,-2.82222,0,0
57.44336,-616.42133,545.1521,-2.81816,0,0
58.32617,-616.33783,544.27368,-2.81412,0,0
59.21094,-616.2536,543.39301,-2.81006,0,0
59.21094,-616.2536,543.39301,-2.81006,0,0
59.80078,-616.19757,542.80511,-2.80735,0,0
60.70508,-616.11188,541.90552,-2.80322,0,0
61.36328,-616.0495,541.25116,-2.80021,0,0
62.08984,-615.98016,540.52679,-2.79687,0,0
63.18945,-615.87567,539.43268,-2.7918,0,0
63.89062,-615.80908,538.73547,-2.78855,0,0
64.86719,-615.71594,537.76233,-2.784,0,0
65.52734,-615.65356,537.10663,-2.78092,0,0
66.50977,-615.56,536.12695,-2.77631,0,0
67.1582,-615.49805,535.48218,-2.77326,0,0
68.13281,-615.40533,534.51263,-2.76869,0,0
69.07617,-615.31561,533.57446,-2.76428,0,0
69.98242,-615.22925,532.67139,-2.76001,0,0
70.90234,-615.14148,531.75513,-2.75562,0,0
71.52148,-615.08252,531.1405,-2.75264,0,0
72.44922,-614.9939,530.21698,-2.74811,0,0
73.36719,-614.90637,529.30304,-2.7436,0,0
