" "Track file for 0 Paul Ricard"",""2020-07-01 19:25:58"",0.000,1,1,v3
"dist","pos_z","pos_x","pos_y","drs","sector"
0.17969,15.95762,32.8509,3.02523,1,0
0.3418,15.82664,32.75544,3.02333,1,0
0.51562,15.68602,32.65295,3.02129,1,0
0.71484,15.52452,32.53524,3.01895,1,0
0.93359,15.34853,32.40695,3.0164,1,0
1.16016,15.16427,32.27264,3.01371,1,0
1.38672,14.9821,32.13984,3.01106,1,0
1.59375,14.8136,32.01702,3.00861,1,0
1.81055,14.6384,31.88931,3.00604,1,0
1.92188,14.54947,31.82448,3.00471,1,0
2.14453,14.36854,31.69259,3.00198,1,0
2.37695,14.18179,31.55646,2.99913,1,0
2.60742,13.99558,31.42072,2.99628,1,0
2.83008,13.81604,31.28982,2.99347,1,0
3.14453,13.56052,31.10355,2.98935,1,0
3.33594,13.40664,30.99136,2.98682,1,0
3.61133,13.18357,30.82873,2.98313,1,0
3.80078,13.0315,30.71786,2.9806,1,0
3.99805,12.87131,30.60106,2.97792,1,0
4.20117,12.70809,30.48204,2.97516,1,0
4.41992,12.53072,30.35272,2.97209,1,0
4.64062,12.35198,30.2224,2.96893,1,0
4.97461,12.08254,30.02597,2.96414,1,0
5.1875,11.91032,29.90041,2.96107,1,0
5.49414,11.66334,29.72034,2.95664,1,0
5.69531,11.49973,29.60107,2.95369,1,0
6.0,11.25412,29.42201,2.94924,1,0
6.10742,11.16654,29.35816,2.94765,1,0
6.33984,10.97929,29.22166,2.94424,1,0
6.58398,10.78254,29.07822,2.94065,1,0
6.95117,10.48587,28.86196,2.93524,1,0
7.18359,10.29788,28.72492,2.9318,1,0
7.52539,10.02205,28.52384,2.92675,1,0
7.75586,9.83465,28.38723,2.92332,1,0
8.11719,9.54276,28.17446,2.91786,1,0
8.36328,9.34379,28.02942,2.91407,1,0
8.73828,9.04072,27.80852,2.90821,1,0
8.86914,8.93552,27.73184,2.90616,1,0
9.25781,8.62076,27.50241,2.89999,1,0
9.51758,8.41197,27.35022,2.89584,1,0
9.89453,8.10664,27.12768,2.88968,1,0
10.14648,7.90328,26.97945,2.88555,1,0
10.53516,7.58969,26.75088,2.87914,1,0
10.67383,7.47713,26.66883,2.87684,1,0
11.0918,7.13853,26.422,2.8699,1,0
11.37305,6.91141,26.25643,2.86526,1,0
11.66211,6.67813,26.08636,2.86052,1,0
12.08398,6.33797,25.83836,2.85368,1,0
12.36523,6.11059,25.67258,2.84916,1,0
12.65039,5.88059,25.50489,2.84462,1,0
12.94336,5.64332,25.33189,2.8399,1,0
13.41016,5.26624,25.05695,2.83222,1,0
13.71289,5.0212,24.87827,2.82711,1,0
14.17578,4.64753,24.6058,2.81919,1,0
14.49023,4.39383,24.42082,2.81374,1,0
14.81836,4.12873,24.22752,2.80799,1,0
15.1543,3.85608,24.02872,2.80204,1,0
15.51758,3.56395,23.81571,2.79568,1,0
15.90234,3.25233,23.58852,2.78898,1,0
16.10742,3.08673,23.46779,2.78545,1,0
16.56055,2.72117,23.20129,2.77774,1,0
16.80078,2.52651,23.05939,2.77365,1,0
17.25977,2.15533,22.78885,2.76581,1,0
17.71484,1.7884,22.52144,2.75796,1,0
18.12695,1.45515,22.27863,2.75068,1,0
18.51562,1.14043,22.04937,2.74368,1,0
18.90625,0.82475,21.81946,2.73656,1,0
19.45508,0.38122,21.49652,2.7265,1,0
19.64648,0.22554,21.3832,2.72298,1,0
20.21094,-0.23015,21.05159,2.71269,1,0
20.58203,-0.53009,20.83338,2.70594,1,0
21.11133,-0.95902,20.52146,2.69624,1,0
21.45703,-1.23748,20.31902,2.6899,1,0
21.82031,-1.53231,20.10475,2.68316,1,0
22.39453,-1.99676,19.76734,2.67258,1,0
22.78125,-2.30985,19.53998,2.66551,1,0
23.35156,-2.77144,19.20495,2.65521,1,0
23.72852,-3.07515,18.98461,2.64847,1,0
24.29688,-3.53665,18.64995,2.63823,1,0
24.6875,-3.85231,18.42118,2.63123,1,0
25.09375,-4.18067,18.18331,2.62397,1,0
