"Trackfile for F1 2020 Sakhir (Bahrain),"2020-07-06 22:10:08",0.000,3,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.41797,-393.73645,136.96158,91.21909,1,0
0.72852,-393.72086,136.65323,91.21925,1,0
1.05859,-393.70444,136.32297,91.21936,1,0
1.41406,-393.68686,135.96875,91.21948,1,0
1.79102,-393.66818,135.59235,91.21962,1,0
2.1582,-393.64981,135.22551,91.21975,1,0
2.52734,-393.6315,134.8588,91.21987,1,0
3.05078,-393.60562,134.33612,91.22023,1,0
3.38281,-393.58917,134.00465,91.2205,1,0
3.86719,-393.56546,133.522,91.22086,1,0
4.1875,-393.54965,133.20108,91.22107,1,0
4.67188,-393.52594,132.71887,91.22128,1,0
4.99219,-393.51013,132.39989,91.22138,1,0
5.46484,-393.48706,131.92744,91.22142,1,0
5.7793,-393.47168,131.61314,91.2215,1,0
6.25586,-393.44861,131.13892,91.22166,1,0
6.57422,-393.43323,130.82001,91.22181,1,0
7.0625,-393.40952,130.33282,91.22213,1,0
7.0625,-393.40952,130.33282,91.22213,1,0
7.4043,-393.39307,129.99269,91.22234,1,0
7.92969,-393.36765,129.46875,91.22275,1,0
8.28125,-393.35056,129.11787,91.22296,1,0
8.7832,-393.3262,128.61653,91.22318,1,0
9.11133,-393.31018,128.28923,91.22328,1,0
9.60938,-393.28622,127.7934,91.22344,1,0
9.94141,-393.27011,127.46149,91.22355,1,0
10.44727,-393.24576,126.95763,91.22373,1,0
10.78711,-393.22931,126.61703,91.22395,1,0
11.30664,-393.20432,126.10057,91.2243,1,0
11.81836,-393.17966,125.58889,91.22472,1,0
12.16406,-393.16299,125.24432,91.22493,1,0
12.68945,-393.13779,124.7195,91.2252,1,0
13.04883,-393.1207,124.36245,91.2253,1,0
13.58398,-393.09506,123.82826,91.22546,1,0
13.94531,-393.07779,123.46736,91.22557,1,0
14.48828,-393.05173,122.92484,91.22573,1,0
14.85156,-393.03464,122.56319,91.22591,1,0
15.39844,-393.00867,122.01849,91.22623,1,0
15.76367,-392.99133,121.65321,91.22652,1,0
16.31445,-392.96512,121.10368,91.22688,1,0
16.85938,-392.9393,120.55981,91.22716,1,0
17.23047,-392.92184,120.18959,91.22729,1,0
17.80859,-392.89471,119.6138,91.22745,1,0
18.20312,-392.87592,119.21972,91.22755,1,0
18.79297,-392.84814,118.63069,91.22775,1,0
19.17773,-392.8302,118.24795,91.22796,1,0
19.74609,-392.80328,117.67915,91.22836,1,0
20.12695,-392.78534,117.29984,91.22864,1,0
20.70703,-392.75821,116.72232,91.22897,1,0
21.10938,-392.73929,116.32046,91.2291,1,0
21.73438,-392.70981,115.69555,91.22926,1,0
22.1582,-392.68994,115.27359,91.22937,1,0
22.77539,-392.66083,114.65772,91.22958,1,0
23.18359,-392.6416,114.25023,91.2298,1,0
23.80078,-392.6124,113.6356,91.23026,1,0
24.41211,-392.58347,113.02527,91.23067,1,0
24.82227,-392.56393,112.61489,91.23087,1,0
25.45898,-392.5336,111.9815,91.23109,1,0
25.91797,-392.51166,111.52332,91.2312,1,0
26.4082,-392.48798,111.03387,91.23132,1,0
27.16992,-392.45135,110.27283,91.23172,1,0
27.68359,-392.42694,109.76224,91.23209,1,0
28.21484,-392.40131,109.23055,91.23257,1,0
28.98828,-392.3642,108.45894,91.23304,1,0
29.48438,-392.34048,107.96574,91.23316,1,0
30.16406,-392.3078,107.28735,91.23318,1,0
30.625,-392.2858,106.82774,91.23328,1,0
31.30859,-392.2529,106.14468,91.2336,1,0
31.96484,-392.22134,105.49089,91.23407,1,0
32.60938,-392.19058,104.84788,91.23451,1,0
33.25586,-392.15982,104.20291,91.23486,1,0
33.69531,-392.13882,103.76444,91.23504,1,0
34.375,-392.10641,103.08543,91.23519,1,0
34.375,-392.10641,103.08543,91.23519,1,0
34.85938,-392.08334,102.60215,91.2353,1,0
35.62695,-392.04675,101.83611,91.23534,1,0
36.15234,-392.02185,101.31297,91.23534,1,0
36.68164,-391.9967,100.78444,91.23534,1,0
37.46484,-391.95966,100.00312,91.23534,1,0
37.98047,-391.9353,99.48926,91.23538,1,0
38.73047,-391.89954,98.74015,91.23544,1,0
39.24219,-391.87518,98.23034,91.23544,1,0
40.02539,-391.8378,97.44816,91.23533,1,0
40.54492,-391.81302,96.9296,91.23522,1,0
41.31836,-391.77606,96.15826,91.2352,1,0
41.83203,-391.75171,95.64725,91.2352,1,0
42.61719,-391.71411,94.86256,91.2352,1,0
43.14648,-391.6889,94.33458,91.2352,1,0
43.91211,-391.65216,93.57106,91.2352,1,0
44.41211,-391.62823,93.07243,91.2352,1,0
45.16211,-391.59235,92.32458,91.23528,1,0
45.67188,-391.56778,91.81588,91.23537,1,0
46.4668,-391.52951,91.02209,91.23537,1,0
47.00195,-391.50366,90.48781,91.23545,1,0
47.83008,-391.46368,89.66245,91.23561,1,0
48.38867,-391.43655,89.10464,91.23582,1,0
49.24609,-391.39496,88.25024,91.23614,1,0
49.80078,-391.36804,87.69571,91.2363,1,0
50.61914,-391.32831,86.88078,91.23646,1,0
51.15625,-391.30225,86.34435,91.23666,1,0
51.97461,-391.26251,85.52758,91.23698,1,0
52.52539,-391.23575,84.97863,91.23728,1,0
53.37109,-391.19452,84.13427,91.23776,1,0
53.96484,-391.16556,83.54364,91.23811,1,0
54.85352,-391.12198,82.65543,91.23849,1,0
55.42578,-391.09421,82.08618,91.2386,1,0
56.24219,-391.05426,81.27094,91.23886,1,0
56.79297,-391.02725,80.72186,91.23915,1,0
57.64453,-390.98563,79.87259,91.23972,1,0
58.2207,-390.95734,79.29756,91.24008,1,0
59.08008,-390.91525,78.4393,91.24056,1,0
59.64062,-390.8877,77.8794,91.24088,1,0
60.48438,-390.84625,77.03584,91.24136,1,0
61.27344,-390.80756,76.24812,91.24189,1,0
62.04492,-390.76947,75.47602,91.24238,1,0
62.56641,-390.74384,74.95505,91.24265,1,0
63.37305,-390.70416,74.15037,91.24306,1,0
64.09766,-390.66855,73.42687,91.24334,1,0
65.00195,-390.6239,72.52274,91.2438,1,0
65.66602,-390.59109,71.85943,91.24403,1,0
66.56055,-390.547,70.96698,91.24445,1,0
67.23438,-390.51367,70.29233,91.24467,1,0
68.11523,-390.47034,69.41336,91.24483,1,0
68.78711,-390.43735,68.74293,91.24483,1,0
69.49219,-390.40271,68.03864,91.24483,1,0
70.43164,-390.35654,67.0985,91.24481,1,0
70.89453,-390.33395,66.63616,91.24474,1,0
70.89453,-390.33395,66.63616,91.24474,1,0
71.61133,-390.29898,65.92079,91.24455,1,0
72.36328,-390.26218,65.16936,91.24428,1,0
73.11914,-390.22556,64.41461,91.24387,1,0
73.8457,-390.19031,63.68893,91.24352,1,0
74.79102,-390.14468,62.745,91.24306,1,0
75.26562,-390.1218,62.2714,91.24284,1,0
75.98828,-390.08701,61.54882,91.24249,1,0
76.73633,-390.05124,60.80223,91.24213,1,0
77.48633,-390.0155,60.05212,91.24176,1,0
78.32422,-389.97559,59.21502,91.24135,1,0
78.91797,-389.94733,58.62184,91.241,1,0
79.85938,-389.90289,57.68189,91.24041,1,0
80.46875,-389.87427,57.07307,91.23998,1,0
81.35938,-389.83231,56.18219,91.23946,1,0
82.24805,-389.79074,55.29444,91.23891,1,0
83.13867,-389.74918,54.4053,91.23838,1,0
84.0332,-389.70755,53.51215,91.23783,1,0
84.64453,-389.67914,52.90132,91.23746,1,0
85.58594,-389.63556,51.96036,91.23682,1,0
86.22656,-389.60608,51.32121,91.23639,1,0
87.15039,-389.56357,50.3976,91.23584,1,0
88.07031,-389.52142,49.47784,91.23561,1,0
88.68359,-389.49341,48.86568,91.23566,1,0
89.61719,-389.45068,47.93334,91.23595,1,0
90.24023,-389.42227,47.31137,91.23616,1,0
91.18164,-389.37949,46.37093,91.23657,1,0
91.80859,-389.35095,45.74427,91.2371,1,0
92.74023,-389.30865,44.81287,91.23828,1,0
93.36133,-389.28046,44.19177,91.23923,1,0
94.33008,-389.23666,43.22575,91.24065,1,0
94.98242,-389.20718,42.57244,91.24151,1,0
95.94727,-389.1636,41.60994,91.24268,1,0
96.59766,-389.13412,40.95861,91.24353,1,0
97.57227,-389.09012,39.98548,91.24471,1,0
98.50391,-389.04819,39.05421,91.24585,1,0
99.41016,-389.00735,38.14911,91.24675,1,0
100.32422,-388.96616,37.23565,91.24718,1,0
101.24805,-388.92471,36.31422,91.24718,1,0
102.17578,-388.88297,35.38702,91.24704,1,0
103.11523,-388.84067,34.44696,91.24676,1,0
103.77734,-388.81097,33.78636,91.24633,1,0
104.79102,-388.76547,32.77408,91.24526,1,0
105.47461,-388.73471,32.09075,91.24441,1,0
106.45508,-388.69086,31.11134,91.24315,1,0
107.4082,-388.64819,30.15903,91.24187,1,0
108.34961,-388.60608,29.21786,91.24049,1,0
109.28906,-388.56409,28.27923,91.23912,1,0
110.2168,-388.52271,27.35343,91.23784,1,0
111.14258,-388.48151,26.42743,91.2366,1,0
112.08398,-388.43939,25.48652,91.23537,1,0
113.03906,-388.39679,24.53245,91.23406,1,0
113.99805,-388.35413,23.57492,91.23278,1,0
114.98438,-388.31036,22.58849,91.23147,1,0
115.98047,-388.26624,21.59395,91.23023,1,0
