"Trackfile for F1 2020 Shanghai,"2020-07-07 00:06:29",0.000,2,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.69629,100.70032,329.90799,-2.8486,1,0
1.0293,100.37671,329.9845,-2.84889,1,0
1.40137,100.01491,330.07028,-2.84916,1,0
1.80078,99.62675,330.16202,-2.84942,1,0
2.21582,99.22336,330.25735,-2.84969,1,0
2.80566,98.64995,330.39294,-2.8501,1,0
3.17285,98.29336,330.47726,-2.85039,1,0
3.54688,97.92977,330.56317,-2.85071,1,0
3.92871,97.55926,330.65057,-2.85106,1,0
4.5,97.00388,330.78168,-2.85158,1,0
4.86426,96.64939,330.86542,-2.85186,1,0
5.22754,96.29629,330.94867,-2.8521,1,0
5.77344,95.76617,331.07382,-2.85242,1,0
6.13965,95.40976,331.15796,-2.85267,1,0
6.66992,94.89491,331.27939,-2.85309,1,0
7.01953,94.55507,331.3595,-2.8534,1,0
7.53125,94.05709,331.47699,-2.85388,1,0
7.87988,93.71869,331.55688,-2.85419,1,0
8.4248,93.18905,331.68195,-2.8546,1,0
8.80273,92.82209,331.76862,-2.85485,1,0
9.37402,92.2665,331.89975,-2.85521,1,0
9.74609,91.90446,331.98523,-2.85548,1,0
10.28906,91.37698,332.10983,-2.85593,1,0
10.64453,91.03128,332.19153,-2.85624,1,0
11.17676,90.51442,332.31366,-2.85671,1,0
11.53223,90.16867,332.39539,-2.85699,1,0
12.09082,89.62606,332.52362,-2.85735,1,0
12.29004,89.43279,332.56927,-2.85747,1,0
12.8916,88.84829,332.70746,-2.85785,1,0
13.28809,88.46227,332.79861,-2.85815,1,0
13.83594,87.93039,332.92432,-2.85862,1,0
14.20703,87.56925,333.00961,-2.85895,1,0
14.77344,87.01934,333.13968,-2.85945,1,0
15.15039,86.65277,333.22635,-2.85973,1,0
15.71289,86.10609,333.35553,-2.86008,1,0
16.09668,85.73336,333.4436,-2.86031,1,0
16.54883,85.29368,333.54758,-2.8606,1,0
16.80371,85.04607,333.60617,-2.8608,1,0
17.57324,84.29816,333.78317,-2.86152,1,0
18.06934,83.81638,333.89719,-2.862,1,0
18.66602,83.23592,334.03461,-2.86248,1,0
19.07227,82.84158,334.12793,-2.86272,1,0
19.67578,82.25511,334.26669,-2.86303,1,0
20.08105,81.86071,334.36005,-2.86326,1,0
20.7041,81.25576,334.5033,-2.86373,1,0
21.13184,80.83974,334.60184,-2.86412,1,0
21.77246,80.21725,334.7493,-2.86475,1,0
22.19434,79.80789,334.84628,-2.86513,1,0
22.62012,79.39408,334.94437,-2.86545,1,0
23.26855,78.76411,335.0936,-2.86583,1,0
23.71387,78.33125,335.19614,-2.86609,1,0
24.38086,77.68253,335.34979,-2.86656,1,0
24.83984,77.23721,335.45538,-2.86695,1,0
25.30664,76.78287,335.56314,-2.86738,1,0
25.78125,76.32237,335.67236,-2.86783,1,0
26.27441,75.8426,335.7861,-2.86822,1,0
26.76367,75.3671,335.89886,-2.86855,1,0
27.26074,74.88497,336.01321,-2.86885,1,0
27.76367,74.39536,336.12936,-2.86917,1,0
28.25781,73.9154,336.24323,-2.86953,1,0
28.75,73.43787,336.35657,-2.86994,1,0
29.23828,72.96297,336.46933,-2.87039,1,0
29.93945,72.28178,336.63101,-2.871,1,0
30.4043,71.82965,336.73831,-2.87132,1,0
31.09082,71.16319,336.89661,-2.87174,1,0
31.54492,70.7219,337.0014,-2.87202,1,0
32.23242,70.05413,337.1601,-2.87252,1,0
32.70508,69.5943,337.26935,-2.87293,1,0
33.2002,69.11334,337.38364,-2.87339,1,0
33.7168,68.61132,337.50299,-2.87385,1,0
34.49512,67.85593,337.68256,-2.87442,1,0
35.00098,67.36361,337.79956,-2.87474,1,0
35.49707,66.88241,337.91406,-2.87505,1,0
36.24121,66.15893,338.08621,-2.87559,1,0
36.24121,66.15893,338.08621,-2.87559,1,0
36.73535,65.67913,338.20041,-2.87601,1,0
37.45312,64.98146,338.36655,-2.87665,1,0
37.9209,64.52693,338.47479,-2.87702,1,0
38.63867,63.82952,338.64093,-2.8775,1,0
39.12109,63.36115,338.7525,-2.8778,1,0
39.85449,62.64893,338.92209,-2.87831,1,0
40.35254,62.16543,339.03738,-2.87872,1,0
41.10352,61.43502,339.21133,-2.8794,1,0
41.60547,60.9483,339.32739,-2.87982,1,0
