"Trackfile for F1 2020 Singapore,"2020-07-07 21:27:17",0.000,12,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.51123,722.52191,62.50473,-11.8865,1,0
0.85693,722.47192,62.16339,-11.88626,1,0
1.375,722.39703,61.65253,-11.88587,1,0
1.72607,722.34619,61.3058,-11.88539,1,0
2.11621,722.28955,60.92101,-11.8847,1,0
2.34082,722.25714,60.69948,-11.88436,1,0
2.34082,722.25714,60.69948,-11.88436,1,0
2.8335,722.18573,60.21308,-11.88383,1,0
3.13477,722.14178,59.91597,-11.88358,1,0
3.74756,722.05212,59.31099,-11.88301,1,0
4.34229,721.9657,58.72433,-11.88246,1,0
4.91113,721.88293,58.16301,-11.88179,1,0
5.35449,721.81866,57.72567,-11.88097,1,0
5.78711,721.75549,57.29888,-11.87993,1,0
6.19043,721.6969,56.90081,-11.87903,1,0
6.59326,721.63831,56.50309,-11.87832,1,0
7.19336,721.55042,55.91128,-11.87759,1,0
7.57031,721.49518,55.53918,-11.87726,1,0
8.11182,721.41614,55.00466,-11.87678,1,0
8.45703,721.36572,54.66424,-11.87629,1,0
8.9707,721.29071,54.15734,-11.87518,1,0
9.31299,721.24036,53.81962,-11.87442,1,0
9.83057,721.16473,53.30889,-11.87345,1,0
10.17139,721.11487,52.97284,-11.87296,1,0
10.66162,721.04315,52.48909,-11.87241,1,0
11.13623,720.97357,52.02104,-11.87196,1,0
11.6001,720.90515,51.56318,-11.87147,1,0
12.06934,720.8363,51.10048,-11.87086,1,0
12.38721,720.78925,50.78696,-11.87033,1,0
12.87305,720.71735,50.3074,-11.8696,1,0
13.35645,720.64557,49.83104,-11.86893,1,0
13.83691,720.57367,49.35676,-11.86803,1,0
14.32227,720.50079,48.87838,-11.86703,1,0
14.80811,720.42755,48.39938,-11.86617,1,0
15.29395,720.35431,47.92015,-11.86551,1,0
15.78564,720.27979,47.43543,-11.86497,1,0
16.2832,720.20441,46.9451,-11.86445,1,0
16.79443,720.12677,46.44089,-11.86382,1,0
17.14209,720.07404,46.09845,-11.86331,1,0
17.66895,719.99377,45.57882,-11.86245,1,0
18.1875,719.91504,45.0677,-11.86155,1,0
18.70312,719.83667,44.55925,-11.86067,1,0
19.08252,719.77875,44.18538,-11.86005,1,0
19.49414,719.71594,43.77941,-11.85942,1,0
20.14648,719.61633,43.13666,-11.85845,1,0
20.5498,719.5545,42.73906,-11.85783,1,0
21.0874,719.47211,42.20898,-11.85694,1,0
21.60791,719.39227,41.69596,-11.85601,1,0
21.95801,719.33881,41.35115,-11.85538,1,0
22.47803,719.25928,40.83829,-11.85445,1,0
22.99316,719.18018,40.3306,-11.85354,1,0
23.521,719.0993,39.81057,-11.85265,1,0
24.06689,719.01581,39.27232,-11.85175,1,0
24.60107,718.93414,38.74587,-11.85094,1,0
25.13867,718.85211,38.21585,-11.85024,1,0
25.49902,718.79718,37.86034,-11.84984,1,0
26.08643,718.70764,37.28128,-11.84925,1,0
26.49512,718.64563,36.87878,-11.84884,1,0
27.11523,718.55164,36.26725,-11.84816,1,0
27.52051,718.4903,35.86766,-11.84768,1,0
28.13086,718.39801,35.26597,-11.84692,1,0
28.53613,718.33691,34.86616,-11.84652,1,0
29.14941,718.24432,34.26146,-11.84628,1,0
29.54932,718.18427,33.86717,-11.84634,1,0
30.14453,718.09454,33.28035,-11.84658,1,0
30.74121,718.00482,32.69186,-11.8468,1,0
31.33594,717.91528,32.10525,-11.84686,1,0
31.9375,717.8252,31.51206,-11.84676,1,0
32.36914,717.7605,31.08655,-11.84677,1,0
32.84277,717.68958,30.61935,-11.84704,1,0
33.34961,717.61389,30.11944,-11.84768,1,0
33.89111,717.53351,29.5858,-11.84865,1,0
34.65039,717.42023,28.83685,-11.85012,1,0
35.36621,717.3139,28.13091,-11.85124,1,0
35.61133,717.27765,27.88915,-11.85156,1,0
36.36719,717.16565,27.14317,-11.8525,1,0
36.9082,717.08557,26.60991,-11.8534,1,0
37.60693,716.98236,25.92062,-11.85494,1,0
38.06152,716.91528,25.47188,-11.85608,1,0
38.72363,716.81775,24.81881,-11.85778,1,0
39.18066,716.75067,24.36802,-11.8589,1,0
39.85596,716.65155,23.70166,-11.86043,1,0
40.29883,716.58661,23.26489,-11.86138,1,0
40.93506,716.49359,22.63715,-11.86274,1,0
41.56982,716.40088,22.01083,-11.86411,1,0
42.00293,716.33752,21.5832,-11.86506,1,0
42.68457,716.23798,20.91092,-11.86666,1,0
43.37061,716.13794,20.23389,-11.8684,1,0
43.82031,716.07275,19.79019,-11.86957,1,0
44.49219,715.97498,19.12711,-11.87119,1,0
44.9458,715.90906,18.67964,-11.8721,1,0
45.62891,715.80988,18.00565,-11.8732,1,0
46.09814,715.74194,17.5423,-11.87384,1,0
46.80176,715.6402,16.84815,-11.87483,1,0
47.49707,715.53979,16.16159,-11.87596,1,0
47.95947,715.47314,15.70551,-11.87676,1,0
48.66211,715.37158,15.01217,-11.87792,1,0
49.35986,715.27051,14.32347,-11.8789,1,0
49.83838,715.20135,13.85143,-11.87949,1,0
50.61475,715.08899,13.08482,-11.88039,1,0
51.13232,715.01447,12.57427,-11.881,1,0
51.88867,714.90552,11.82775,-11.88196,1,0
52.37256,714.83545,11.35044,-11.88257,1,0
53.11377,714.72888,10.61872,-11.88345,1,0
53.60107,714.65863,10.1376,-11.88399,1,0
54.3252,714.55426,9.4231,-11.88476,1,0
54.8374,714.48041,8.91736,-11.88529,1,0
55.62256,714.36719,8.14281,-11.88613,1,0
56.15039,714.29114,7.62145,-11.8867,1,0
56.91162,714.18127,6.86826,-11.88749,1,0
57.41797,714.10779,6.36727,-11.88798,1,0
58.15918,714.00061,5.63408,-11.88866,1,0
58.88428,713.89612,4.91646,-11.88932,1,0
59.59717,713.79358,4.21101,-11.88997,1,0
60.32568,713.68811,3.49025,-11.89064,1,0
60.32568,713.68811,3.49025,-11.89064,1,0
60.84229,713.61346,2.97869,-11.89109,1,0
61.63721,713.4986,2.1923,-11.89174,1,0
62.16748,713.42212,1.66751,-11.89216,1,0
62.95068,713.30933,0.89249,-11.89279,1,0
63.71533,713.19922,0.13592,-11.89339,1,0
64.48389,713.08862,-0.62462,-11.89397,1,0
65.01172,713.01239,-1.14704,-11.89432,1,0
65.82227,712.89575,-1.94921,-11.89482,1,0
66.59668,712.78406,-2.71548,-11.89527,1,0
67.34521,712.67627,-3.45598,-11.89571,1,0
68.12207,712.56458,-4.225,-11.89617,1,0
68.91064,712.45105,-5.00541,-11.8966,1,0
69.69824,712.33807,-5.78482,-11.89698,1,0
70.21924,712.263,-6.30005,-11.89722,1,0
71.02637,712.14679,-7.0987,-11.89759,1,0
71.57666,712.06775,-7.64331,-11.89784,1,0
72.396,711.95026,-8.45411,-11.89821,1,0
73.21191,711.83313,-9.26152,-11.89852,1,0
73.75244,711.75549,-9.79645,-11.89871,1,0
74.60303,711.6333,-10.63854,-11.89907,1,0
75.43115,711.51471,-11.458,-11.89956,1,0
76.22754,711.40082,-12.24625,-11.90006,1,0
76.77051,711.32318,-12.78372,-11.90034,1,0
77.60645,711.2038,-13.6111,-11.90065,1,0
78.17334,711.1228,-14.17208,-11.90081,1,0
79.0376,710.99933,-15.02729,-11.90108,1,0
79.89697,710.87628,-15.87763,-11.90139,1,0
79.89697,710.87628,-15.87763,-11.90139,1,0
80.69336,710.76239,-16.66601,-11.9017,1,0
81.50977,710.64594,-17.47402,-11.90202,1,0
82.31641,710.53107,-18.27248,-11.90233,1,0
83.11914,710.41644,-19.06703,-11.90264,1,0
83.93213,710.30072,-19.87182,-11.90295,1,0
84.49854,710.21979,-20.43204,-11.90316,1,0
85.13574,710.12878,-21.06297,-11.90339,1,0
85.8374,710.02899,-21.75722,-11.90364,1,0
86.59082,709.92139,-22.50296,-11.90392,1,0
87.35742,709.81207,-23.26175,-11.90421,1,0
88.11768,709.70398,-24.01456,-11.90451,1,0
88.88184,709.59521,-24.77083,-11.90483,1,0
89.65576,709.4848,-25.53671,-11.90518,1,0
90.73828,709.33099,-26.60801,-11.90568,1,0
91.46289,709.22748,-27.32546,-11.90602,1,0
92.49365,709.08057,-28.34565,-11.90656,1,0
93.44873,708.94434,-29.29107,-11.90715,1,0
94.33057,708.81873,-30.16395,-11.90773,1,0
95.22217,708.69165,-31.04606,-11.90832,1,0
96.10303,708.56641,-31.91801,-11.90894,1,0
96.69189,708.48254,-32.50095,-11.90938,1,0
97.65723,708.34497,-33.45617,-11.91018,1,0
98.3042,708.25311,-34.09668,-11.91073,1,0
99.21826,708.12323,-35.00149,-11.91151,1,0
100.10742,707.99652,-35.88156,-11.91226,1,0
101.00342,707.86908,-36.76842,-11.91302,1,0
101.00342,707.86908,-36.76842,-11.91302,1,0
101.63184,707.77972,-37.39064,-11.91355,1,0
102.61426,707.6402,-38.36274,-11.91439,1,0
103.57275,707.50366,-39.3119,-11.91521,1,0
104.47168,707.37585,-40.20161,-11.91593,1,0
105.36768,707.24841,-41.08808,-11.9166,1,0
106.27588,707.11914,-41.98707,-11.91724,1,0
106.90039,707.03052,-42.60521,-11.91769,1,0
107.60547,706.93011,-43.30334,-11.91817,1,0
108.35645,706.82318,-44.04652,-11.91869,1,0
109.53564,706.6557,-45.21374,-11.91949,1,0
110.28027,706.54993,-45.95099,-11.91999,1,0
111.32471,706.40186,-46.98451,-11.9207,1,0
111.32471,706.40186,-46.98451,-11.9207,1,0
112.2666,706.26819,-47.91721,-11.92137,1,0
113.1665,706.14075,-48.80801,-11.92206,1,0
114.08789,706.01001,-49.71977,-11.92281,1,0
115.0498,705.87378,-50.67221,-11.9236,1,0
115.7168,705.77924,-51.33262,-11.92415,1,0
116.70605,705.63904,-52.31157,-11.92491,1,0
117.65771,705.50464,-53.25381,-11.92564,1,0
118.28223,705.41638,-53.87205,-11.92616,1,0
119.33496,705.2677,-54.91411,-11.92711,1,0
120.04346,705.16772,-55.61562,-11.92774,1,0
121.04443,705.02673,-56.60668,-11.92852,1,0
121.9707,704.89636,-57.52357,-11.92915,1,0
122.91748,704.76306,-58.46111,-11.92977,1,0
123.60791,704.66577,-59.14445,-11.93021,1,0
124.66943,704.51624,-60.19556,-11.93088,1,0
125.71582,704.36908,-61.23124,-11.93155,1,0
126.74561,704.2243,-62.25124,-11.93222,1,0
127.16113,704.1662,-62.66239,-11.9325,1,0
128.46338,703.98334,-63.95195,-11.93344,1,0
129.66211,703.81506,-65.13877,-11.93439,1,0
130.33057,703.72131,-65.80032,-11.93494,1,0
