" Track file for 0 Sochi","2020-07-01 19:31:31",0.000,18,1,v3
"dist","pos_z","pos_x","pos_y","drs","sector"
0.34961,929.0073,-447.4972,1.65226,0,0
0.73438,928.7971,-447.17456,1.65183,0,0
1.12891,928.5815,-446.8444,1.65074,0,0
1.42578,928.4183,-446.59525,1.65061,0,0
1.60352,928.3205,-446.4461,1.65062,0,0
1.99219,928.1075,-446.1211,1.65049,0,0
2.39062,927.88837,-445.78754,1.65038,0,0
2.78125,927.6735,-445.4613,1.64963,0,0
3.13281,927.48016,-445.1677,1.64921,0,0
3.50391,927.2747,-444.85623,1.64901,0,0
3.88477,927.0648,-444.53818,1.64874,0,0
4.2793,926.84717,-444.2096,1.64818,0,0
4.64648,926.6436,-443.90244,1.64771,0,0
5.17773,926.3505,-443.4604,1.64732,0,0
5.49609,926.17377,-443.19427,1.64734,0,0
5.96875,925.9121,-442.8008,1.64694,0,0
6.13281,925.8208,-442.66385,1.64678,0,0
6.46094,925.63806,-442.3895,1.6465,0,0
6.80859,925.44556,-442.1008,1.64596,0,0
7.17383,925.2423,-441.79614,1.64558,0,0
7.55664,925.0297,-441.47766,1.64489,0,0
7.94336,924.8146,-441.15527,1.64389,0,0
8.32422,924.60315,-440.83905,1.64347,0,0
8.84766,924.31213,-440.40314,1.64152,0,0
9.17773,924.1277,-440.1273,1.64046,0,0
9.50781,923.9441,-439.8528,1.63976,0,0
10.00781,923.6657,-439.4363,1.63894,0,0
10.34375,923.4793,-439.15756,1.63907,0,0
10.8457,923.1996,-438.73892,1.63916,0,0
11.20117,923.0025,-438.44418,1.639,0,0
11.56836,922.798,-438.1382,1.6389,0,0
12.11328,922.4939,-437.68356,1.63768,0,0
12.46094,922.30054,-437.3943,1.63648,0,0
12.96094,922.0224,-436.9779,1.63517,0,0
13.31445,921.82623,-436.68457,1.6347,0,0
13.52539,921.7084,-436.50827,1.63457,0,0
14.00977,921.439,-436.10547,1.63451,0,0
14.28516,921.2854,-435.8757,1.6345,0,0
14.85352,920.96967,-435.40356,1.63426,0,0
15.4082,920.6605,-434.9414,1.63367,0,0
15.90625,920.38293,-434.52664,1.63292,0,0
16.37305,920.123,-434.13824,1.63205,0,0
16.85352,919.8553,-433.73828,1.63113,0,0
17.32617,919.5928,-433.34628,1.63047,0,0
17.78125,919.3383,-432.96628,1.62999,0,0
18.21484,919.0969,-432.60596,1.62954,0,0
18.62891,918.86615,-432.26157,1.62909,0,0
19.24219,918.5249,-431.75244,1.62837,0,0
19.65234,918.2952,-431.40985,1.62786,0,0
20.06445,918.0657,-431.06747,1.62737,0,0
20.49609,917.8254,-430.7092,1.62715,0,0
20.94922,917.5726,-430.3321,1.62714,0,0
21.23633,917.4125,-430.0934,1.62715,0,0
21.81641,917.089,-429.61115,1.62715,0,0
22.39258,916.7678,-429.13214,1.62664,0,0
22.95312,916.45496,-428.6655,1.62569,0,0
23.41797,916.1954,-428.27826,1.62484,0,0
23.90625,915.9238,-427.87314,1.6241,0,0
24.4082,915.6437,-427.45493,1.62352,0,0
24.94531,915.3443,-427.00806,1.62297,0,0
