"Trackfile for F1 2020 Spa,"2020-07-07 15:22:21",0.000,10,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.90625,-326.75238,-729.95892,-7.48367,1,0
0.90625,-326.75238,-729.95892,-7.48367,1,0
1.48828,-327.07922,-730.44122,-7.46983,1,0
1.89844,-327.30914,-730.78088,-7.4605,1,0
2.54297,-327.6705,-731.31445,-7.44616,1,0
2.96094,-327.90463,-731.6601,-7.43629,1,0
3.38477,-328.14273,-732.01178,-7.42577,1,0
4.02539,-328.50162,-732.54199,-7.4097,1,0
4.45508,-328.74173,-732.89655,-7.39915,1,0
5.06055,-329.08139,-733.39825,-7.3847,1,0
5.44727,-329.29758,-733.71771,-7.37577,1,0
6.02344,-329.62122,-734.19617,-7.3626,1,0
6.42773,-329.84683,-734.52966,-7.35342,1,0
7.07031,-330.2077,-735.06287,-7.33854,1,0
7.50586,-330.45099,-735.42218,-7.32837,1,0
7.50586,-330.45099,-735.42218,-7.32837,1,0
8.14844,-330.81091,-735.95435,-7.3133,1,0
8.55859,-331.04074,-736.29401,-7.30376,1,0
9.15625,-331.3757,-736.78888,-7.28999,1,0
9.55273,-331.5983,-737.11804,-7.28089,1,0
10.1582,-331.93719,-737.61938,-7.26704,1,0
10.75586,-332.27167,-738.11401,-7.25334,1,0
11.33203,-332.5946,-738.59174,-7.24004,1,0
11.90234,-332.91327,-739.06329,-7.22686,1,0
12.2832,-333.12628,-739.37848,-7.21805,1,0
12.87109,-333.45618,-739.86658,-7.20441,1,0
13.26367,-333.67523,-740.19049,-7.19537,1,0
13.26367,-333.67523,-740.19049,-7.19537,1,0
13.85547,-334.00671,-740.68103,-7.18169,1,0
14.25,-334.22775,-741.00806,-7.17254,1,0
14.85742,-334.56775,-741.51099,-7.15845,1,0
15.26367,-334.79492,-741.84717,-7.14902,1,0
15.87109,-335.13589,-742.35175,-7.13488,1,0
16.47461,-335.4729,-742.85059,-7.12091,1,0
16.87695,-335.698,-743.18372,-7.11159,1,0
17.50195,-336.04828,-743.70197,-7.0971,1,0
17.92773,-336.28671,-744.05487,-7.08724,1,0
18.55273,-336.63586,-744.57178,-7.07281,1,0
18.96094,-336.86536,-744.91132,-7.06331,1,0
19.57617,-337.20911,-745.4201,-7.04907,1,0
19.98438,-337.4375,-745.75812,-7.03961,1,0
20.59375,-337.77844,-746.26263,-7.02548,1,0
20.99414,-338.00278,-746.59467,-7.0162,1,0
21.60352,-338.34344,-747.099,-7.00214,1,0
22.00781,-338.56967,-747.4339,-6.99283,1,0
22.61914,-338.91257,-747.94153,-6.97875,1,0
23.03125,-339.14285,-748.28241,-6.9693,1,0
23.65234,-339.48999,-748.79626,-6.95505,1,0
24.06836,-339.72348,-749.14185,-6.94544,1,0
24.69531,-340.07394,-749.66083,-6.93102,1,0
25.32422,-340.42587,-750.18201,-6.91656,1,0
25.95117,-340.7767,-750.70148,-6.9022,1,0
26.57617,-341.12665,-751.21973,-6.88789,1,0
27.19922,-341.47473,-751.73511,-6.87365,1,0
27.82031,-341.82214,-752.24951,-6.85941,1,0
28.44336,-342.17084,-752.76569,-6.84512,1,0
28.44336,-342.17084,-752.76569,-6.84512,1,0
28.86523,-342.40744,-753.11615,-6.83544,1,0
29.50977,-342.7673,-753.64917,-6.82076,1,0
30.15234,-343.12701,-754.18201,-6.80608,1,0
30.58398,-343.36877,-754.54004,-6.7962,1,0
31.04297,-343.62506,-754.91956,-6.78572,1,0
31.78906,-344.04251,-755.5379,-6.76865,1,0
32.30273,-344.33032,-755.96429,-6.75691,1,0
32.83789,-344.62918,-756.40686,-6.74488,1,0
33.37891,-344.93182,-756.85516,-6.73292,1,0
34.17578,-345.37805,-757.51605,-6.7156,1,0
34.88281,-345.77386,-758.10236,-6.70026,1,0
35.53516,-346.13867,-758.6427,-6.68595,1,0
35.97461,-346.38486,-759.00739,-6.67624,1,0
36.48438,-346.66959,-759.42932,-6.66513,1,0
37.0332,-346.9765,-759.88385,-6.65336,1,0
37.61719,-347.30362,-760.36835,-6.64101,1,0
38.44141,-347.7644,-761.05084,-6.62375,1,0
39.17578,-348.1752,-761.65924,-6.60828,1,0
39.63672,-348.43292,-762.04095,-6.59848,1,0
40.34766,-348.83115,-762.63086,-6.58321,1,0
40.82227,-349.09662,-763.02411,-6.57295,1,0
41.51953,-349.48645,-763.60156,-6.55781,1,0
42.1875,-349.85947,-764.15417,-6.54321,1,0
42.8457,-350.22839,-764.70056,-6.5287,1,0
43.51758,-350.60385,-765.25665,-6.51391,1,0
43.97852,-350.86221,-765.63934,-6.50374,1,0
44.68164,-351.25476,-766.22083,-6.4883,1,0
45.37695,-351.64444,-766.7981,-6.47284,1,0
46.06055,-352.02637,-767.36377,-6.45747,1,0
46.06055,-352.02637,-767.36377,-6.45747,1,0
46.74609,-352.41055,-767.93268,-6.44181,1,0
47.21484,-352.672,-768.31976,-6.43112,1,0
47.73438,-352.96298,-768.75067,-6.41925,1,0
48.5332,-353.41071,-769.41364,-6.40107,1,0
49.29297,-353.83563,-770.04291,-6.38385,1,0
49.99023,-354.22546,-770.62018,-6.36801,1,0
50.68945,-354.61676,-771.19952,-6.3521,1,0
51.38867,-355.00809,-771.77893,-6.33638,1,0
52.08789,-355.39938,-772.35828,-6.32092,1,0
52.79297,-355.79376,-772.94214,-6.30551,1,0
53.27344,-356.06299,-773.34064,-6.29499,1,0
54.00781,-356.47382,-773.94885,-6.27887,1,0
54.74414,-356.88626,-774.55939,-6.26271,1,0
55.48047,-357.29779,-775.16858,-6.24676,1,0
56.21094,-357.7066,-775.7738,-6.23107,1,0
56.92188,-358.10519,-776.36389,-6.21583,1,0
57.625,-358.49866,-776.94641,-6.20077,1,0
58.34375,-358.90097,-777.54187,-6.1853,1,0
58.83203,-359.17392,-777.94586,-6.17477,1,0
59.61523,-359.61246,-778.59497,-6.15786,1,0
60.15625,-359.91541,-779.04327,-6.14634,1,0
60.96484,-360.3678,-779.71283,-6.12946,1,0
61.72461,-360.79294,-780.3421,-6.1138,1,0
62.45508,-361.20212,-780.94775,-6.09871,1,0
63.19141,-361.61411,-781.5575,-6.08344,1,0
63.9375,-362.03223,-782.17621,-6.06808,1,0
63.9375,-362.03223,-782.17621,-6.06808,1,0
64.67969,-362.44754,-782.79095,-6.05291,1,0
65.43359,-362.86917,-783.41504,-6.03747,1,0
66.18945,-363.29294,-784.04224,-6.02192,1,0
66.94727,-363.71707,-784.66986,-6.00638,1,0
67.71289,-364.14572,-785.30414,-5.99064,1,0
68.48828,-364.58017,-785.94714,-5.97458,1,0
69.26758,-365.01578,-786.59149,-5.95858,1,0
70.03906,-365.44855,-787.23181,-5.94288,1,0
70.80664,-365.87823,-787.86743,-5.92744,1,0
71.57031,-366.30612,-788.50055,-5.91208,1,0
72.3457,-366.7402,-789.14288,-5.89659,1,0
