"Trackfile for F1 2020 Suzuka,"2020-07-07 22:21:28",0.000,13,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.77148,542.71259,-169.75906,1.03446,1,0
1.20508,542.99713,-169.43468,1.01945,1,0
1.67188,543.30475,-169.0845,1.00323,1,0
2.19141,543.64624,-168.69533,0.98525,1,0
2.19141,543.64624,-168.69533,0.98525,1,0
2.9707,544.15942,-168.11089,0.95842,1,0
3.4707,544.48798,-167.7368,0.94133,1,0
4.19922,544.96765,-167.19069,0.91613,1,0
4.70312,545.29913,-166.81317,0.89856,1,0
5.44141,545.78448,-166.26025,0.87282,1,0
5.90234,546.08734,-165.91513,0.85687,1,0
6.5625,546.52167,-165.42033,0.83434,1,0
7.07227,546.85748,-165.03787,0.81724,1,0
7.60352,547.20612,-164.64078,0.79967,1,0
8.40625,547.73462,-164.03909,0.77377,1,0
9.07617,548.17554,-163.53705,0.75315,1,0
9.70898,548.59155,-163.06339,0.73423,1,0
10.34961,549.01306,-162.58333,0.71523,1,0
10.98047,549.42841,-162.11034,0.69654,1,0
11.59961,549.83594,-161.64633,0.67849,1,0
12.21875,550.24347,-161.18242,0.66145,1,0
12.84375,550.65454,-160.71455,0.64553,1,0
13.47461,551.06982,-160.24162,0.63026,1,0
14.11328,551.49023,-159.76276,0.615,1,0
14.77734,551.92603,-159.26649,0.59894,1,0
15.43945,552.36224,-158.76932,0.58256,1,0
16.09961,552.79608,-158.2751,0.5666,1,0
16.76758,553.2359,-157.7742,0.55104,1,0
17.43555,553.6748,-157.27425,0.53597,1,0
18.08984,554.10529,-156.78362,0.52134,1,0
18.73828,554.53229,-156.29715,0.50671,1,0
18.73828,554.53229,-156.29715,0.50671,1,0
19.40039,554.96747,-155.80112,0.49155,1,0
20.06055,555.40143,-155.30656,0.47593,1,0
20.73047,555.84131,-154.80502,0.45918,1,0
21.39648,556.27991,-154.30476,0.4417,1,0
22.06641,556.72009,-153.80281,0.42391,1,0
22.74609,557.16718,-153.29291,0.40604,1,0
23.43164,557.61664,-152.77991,0.38829,1,0
24.09961,558.05646,-152.2782,0.37049,1,0
24.75781,558.48822,-151.7852,0.35219,1,0
25.41992,558.92316,-151.28856,0.3331,1,0
26.06445,559.34723,-150.80426,0.31422,1,0
26.69922,559.76392,-150.32851,0.29572,1,0
27.3457,560.18817,-149.84373,0.27708,1,0
28.00391,560.6203,-149.3501,0.25833,1,0
28.66211,561.05267,-148.85626,0.23972,1,0
29.32031,561.48517,-148.3623,0.22117,1,0
29.99219,561.92572,-147.85846,0.20219,1,0
30.66016,562.36444,-147.35667,0.18313,1,0
31.32227,562.79962,-146.85919,0.1641,1,0
31.98242,563.23248,-146.36395,0.14517,1,0
32.6543,563.6734,-145.85944,0.12601,1,0
33.36719,564.1405,-145.32495,0.10591,1,0
34.07812,564.60669,-144.79137,0.08599,1,0
34.75781,565.05298,-144.28059,0.06699,1,0
35.44922,565.50635,-143.76143,0.04771,1,0
35.93359,565.82495,-143.39671,0.03412,1,0
35.93359,565.82495,-143.39671,0.03412,1,0
36.66797,566.30542,-142.84634,0.0135,1,0
37.19336,566.65076,-142.45073,-0.00139,1,0
38.00977,567.18628,-141.83727,-0.02449,1,0
38.59766,567.57159,-141.3958,-0.04103,1,0
39.45117,568.13068,-140.75517,-0.06483,1,0
40.24414,568.6507,-140.15955,-0.08693,1,0
40.94531,569.1098,-139.63362,-0.10659,1,0
41.61914,569.55249,-139.12637,-0.12566,1,0
42.3125,570.00671,-138.60577,-0.14527,1,0
43.02148,570.47198,-138.0726,-0.16526,1,0
43.72656,570.93341,-137.54359,-0.18499,1,0
44.40625,571.37872,-137.03302,-0.20407,1,0
45.09375,571.8299,-136.51566,-0.22351,1,0
45.78906,572.28473,-135.99425,-0.2432,1,0
46.47852,572.73724,-135.47536,-0.2628,1,0
47.16797,573.18842,-134.9581,-0.28224,1,0
47.86523,573.64624,-134.43309,-0.3019,1,0
48.55664,574.09894,-133.91345,-0.32141,1,0
49.25391,574.55524,-133.38985,-0.34114,1,0
49.95312,575.0141,-132.86333,-0.36103,1,0
50.6543,575.47314,-132.33669,-0.38089,1,0
51.36719,575.93988,-131.80101,-0.40101,1,0
52.07812,576.40698,-131.26491,-0.42111,1,0
52.79883,576.88037,-130.72145,-0.44149,1,0
53.5293,577.35956,-130.17148,-0.46213,1,0
54.28125,577.85315,-129.60504,-0.48337,1,0
54.82031,578.20752,-129.19841,-0.49855,1,0
55.66211,578.75983,-128.56444,-0.52209,1,0
56.45312,579.27948,-127.96784,-0.54425,1,0
57.1543,579.73981,-127.4395,-0.5639,1,0
57.85742,580.20221,-126.90892,-0.58365,1,0
58.56836,580.6684,-126.37349,-0.6035,1,0
59.28125,581.13568,-125.83712,-0.62319,1,0
60.02344,581.62335,-125.27714,-0.64366,1,0
60.76367,582.10931,-124.71925,-0.66429,1,0
61.47461,582.5766,-124.18285,-0.68446,1,0
62.17383,583.03516,-123.65642,-0.70446,1,0
62.87109,583.49323,-123.13066,-0.7244,1,0
63.57812,583.95709,-122.59823,-0.74446,1,0
64.28906,584.42413,-122.06219,-0.76469,1,0
65.01172,584.89832,-121.5178,-0.78547,1,0
65.72852,585.36926,-120.97715,-0.80636,1,0
66.42578,585.82672,-120.45193,-0.82684,1,0
67.11914,586.28235,-119.92867,-0.84736,1,0
67.11914,586.28235,-119.92867,-0.84736,1,0
67.83203,586.74921,-119.39252,-0.86841,1,0
68.5625,587.22876,-118.84185,-0.88993,1,0
69.28711,587.70471,-118.29543,-0.91114,1,0
70.01758,588.18384,-117.74522,-0.93243,1,0
70.74219,588.66046,-117.19798,-0.95373,1,0
71.4668,589.13623,-116.65157,-0.97525,1,0
72.20117,589.61768,-116.09857,-0.99707,1,0
72.93945,590.10254,-115.54175,-1.01884,1,0
73.66797,590.57996,-114.99345,-1.04002,1,0
74.40625,591.06439,-114.4369,-1.06142,1,0
74.40625,591.06439,-114.4369,-1.06142,1,0
75.16406,591.5625,-113.86466,-1.0836,1,0
75.92773,592.06274,-113.29008,-1.10606,1,0
76.70117,592.57141,-112.7055,-1.12885,1,0
