" Track file for 0 Texas","2020-07-01 19:31:42",0.000,15,1,v3
"dist","pos_z","pos_x","pos_y","drs","sector"
0.18164,-716.71796,658.2633,-139.21745,1,0
0.44336,-716.50665,658.41675,-139.21732,1,0
0.87109,-716.1615,658.6674,-139.21748,1,0
1.19922,-715.897,658.85974,-139.21771,1,0
1.57227,-715.59595,659.07837,-139.21799,1,0
1.96875,-715.2766,659.3108,-139.21841,1,0
2.53711,-714.819,659.6437,-139.21945,1,0
2.86133,-714.55695,659.8345,-139.21927,1,0
3.28711,-714.21375,660.0845,-139.21857,1,0
3.67969,-713.89734,660.3152,-139.21793,1,0
4.07227,-713.5813,660.54553,-139.21754,1,0
4.3418,-713.36523,660.70337,-139.2175,1,0
4.75586,-713.032,660.9462,-139.21768,1,0
5.1582,-712.7075,661.18286,-139.21796,1,0
5.54102,-712.39954,661.4076,-139.21806,1,0
5.91797,-712.0952,661.6299,-139.21806,1,0
6.30078,-711.788,661.85376,-139.21806,1,0
6.68164,-711.4815,662.0779,-139.21806,1,0
7.0625,-711.17523,662.30164,-139.218,1,0
7.44531,-710.8671,662.5272,-139.21797,1,0
7.84375,-710.54706,662.7612,-139.21797,1,0
8.12305,-710.32196,662.9261,-139.21797,1,0
8.55469,-709.9745,663.1804,-139.21797,1,0
8.97266,-709.6387,663.42615,-139.21797,1,0
9.36914,-709.31995,663.6598,-139.21797,1,0
9.77148,-708.99646,663.8969,-139.21808,1,0
10.17578,-708.67145,664.13495,-139.21822,1,0
10.57422,-708.35156,664.3695,-139.21822,1,0
10.9668,-708.03546,664.60156,-139.21828,1,0
11.37305,-707.7088,664.84143,-139.2184,1,0
11.79297,-707.3725,665.0884,-139.2184,1,0
12.21094,-707.0358,665.33575,-139.21846,1,0
12.63672,-706.69385,665.5867,-139.21854,1,0
12.9375,-706.45245,665.76385,-139.21854,1,0
13.38867,-706.09064,666.02966,-139.21864,1,0
13.83398,-705.73285,666.2924,-139.21866,1,0
14.25586,-705.3934,666.5418,-139.21866,1,0
14.67188,-705.0599,666.7871,-139.21866,1,0
15.0957,-704.7203,667.03674,-139.21866,1,0
