"Trackfile for F1 2020 Zandvoort,"2020-07-07 09:11:09",0.000,26,1,"v3"
"dist","pos_z","pos_x","pos_y","drs","sector"
0.52539,-334.06247,-95.41309,4.98507,1,0
1.02539,-333.88013,-95.87933,4.9849,1,0
1.54688,-333.69086,-96.36335,4.98468,1,0
2.04883,-333.50751,-96.83212,4.98441,1,0
2.75781,-333.2493,-97.49232,4.98391,1,0
3.17773,-333.09692,-97.88184,4.98356,1,0
3.78906,-332.87393,-98.45213,4.98304,1,0
4.21094,-332.72061,-98.84417,4.98265,1,0
4.21094,-332.72061,-98.84417,4.98265,1,0
4.85742,-332.48535,-99.44551,4.98203,1,0
5.28906,-332.32812,-99.8475,4.9816,1,0
5.9043,-332.10382,-100.42082,4.98101,1,0
5.9043,-332.10382,-100.42082,4.98101,1,0
6.30469,-331.95776,-100.79408,4.98061,1,0
6.89062,-331.74438,-101.33958,4.97998,1,0
7.27539,-331.60419,-101.69791,4.97955,1,0
7.85352,-331.39395,-102.23524,4.97881,1,0
8.05078,-331.32175,-102.41982,4.97854,1,0
8.66406,-331.09842,-102.99065,4.97769,1,0
9.07422,-330.9491,-103.37236,4.97711,1,0
9.66992,-330.73248,-103.92604,4.97634,1,0
10.03711,-330.59885,-104.26767,4.9759,1,0
10.58203,-330.40033,-104.77512,4.97532,1,0
10.94727,-330.26721,-105.1155,4.97492,1,0
11.50391,-330.06473,-105.63314,4.97425,1,0
11.85352,-329.93713,-105.9594,4.97381,1,0
12.19727,-329.81168,-106.28023,4.97337,1,0
12.69336,-329.63141,-106.74097,4.97272,1,0
13.04102,-329.505,-107.0642,4.97226,1,0
13.55859,-329.31641,-107.54646,4.97157,1,0
13.89648,-329.19342,-107.86098,4.97113,1,0
14.37891,-329.01724,-108.31156,4.97052,1,0
14.69922,-328.90103,-108.60889,4.97014,1,0
15.19141,-328.72159,-109.06805,4.96953,1,0
15.51562,-328.60376,-109.36958,4.96911,1,0
15.51562,-328.60376,-109.36958,4.96911,1,0
15.97852,-328.43567,-109.79977,4.96846,1,0
16.27734,-328.32687,-110.07828,4.96801,1,0
16.58398,-328.21533,-110.36399,4.96752,1,0
17.05664,-328.0433,-110.8045,4.96674,1,0
17.38086,-327.92542,-111.10636,4.96621,1,0
17.70312,-327.80814,-111.40691,4.96566,1,0
18.17969,-327.63528,-111.84964,4.9649,1,0
18.47656,-327.52707,-112.12695,4.96445,1,0
18.90234,-327.37283,-112.52203,4.96384,1,0
19.19336,-327.26669,-112.79408,4.96345,1,0
19.64062,-327.10455,-113.20989,4.96288,1,0
19.94141,-326.99533,-113.49,4.96251,1,0
20.375,-326.8378,-113.89387,4.96199,1,0
20.66406,-326.73291,-114.16302,4.96166,1,0
21.09961,-326.57437,-114.5701,4.96118,1,0
